problem,trial,seed,search_steps,lr,gamma,batch_size,mem_size,epsilon,weight_num,beta,homotopy,update_freq,optimizer,total_steps,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
2b,0,0,500000,0.001,0.99,32,10000,0.8,16,0.1,False,100,RMSprop,500000,185.6455572878094,0.6700797437173341,0.5384615384615384,0.9718479432336184,2026-05-30T05:36:11
2b,2,0,500000,0.0001,0.95,32,10000,0.3,32,0.3,False,100,Adam,500000,139.07886889603373,0.5019992624001817,0.38461538461538464,0.7865358675512101,2026-05-30T07:37:08
2b,1,0,1000000,0.0003,0.95,128,5000,0.5,16,0.1,False,50,Adam,1000000,133.7174308381399,0.48264737974661404,0.3076923076923077,0.8684232854454947,2026-05-30T10:23:04
2b,4,0,1000000,0.0003,0.99,32,20000,0.5,16,0.01,True,50,Adam,1000000,108.52383049754,0.3917121507749123,0.3076923076923077,0.9002930987757377,2026-05-30T10:47:45
2b,5,0,1000000,0.0006,0.99,32,10000,0.3,32,0.01,True,50,RMSprop,1000000,120.80552847621934,0.43604241730107796,1.0,0.8837202760227527,2026-05-30T11:55:16
2b,6,0,1000000,0.0001,0.99,128,5000,0.3,8,0.3,False,200,RMSprop,1000000,117.13007403679543,0.4227760208152428,0.15384615384615385,0.6611109547876677,2026-05-30T12:04:58
2b,7,0,500000,0.0006,0.95,256,20000,0.3,8,0.3,True,100,Adam,500000,118.390703512145,0.4273262092932529,0.38461538461538464,0.7452232171301101,2026-05-30T13:44:12
2b,9,0,500000,0.001,0.99,128,5000,0.3,32,0.01,False,200,RMSprop,500000,121.92014107077341,0.4400655640578032,0.3076923076923077,0.8332220196438549,2026-05-30T16:22:19
2b,3,0,1000000,0.0003,0.95,128,20000,0.5,32,0.3,True,200,Adam,1000000,119.75459484982575,0.4322491170717275,0.46153846153846156,0.7736134174574748,2026-05-30T16:27:41
2b,8,0,500000,0.0003,0.99,256,5000,0.3,32,0.01,True,50,Adam,500000,141.44623727178018,0.5105441778707167,0.46153846153846156,0.8001991139375292,2026-05-30T19:14:32
