problem,trial,seed,search_steps,lr,gamma,batch_size,mem_size,epsilon,weight_num,beta,homotopy,update_freq,optimizer,total_steps,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
0,0,0,500000,0.001,0.99,32,10000,0.8,16,0.1,False,100,RMSprop,500000,385.8929342895674,0.8609356914210987,0.6923076923076923,0.9018971789426982,2026-05-28T21:36:09
0,2,0,500000,0.0001,0.95,32,10000,0.3,32,0.3,False,100,Adam,500000,331.74308432137775,0.7401261756715058,0.38461538461538464,0.9332661261936748,2026-05-28T22:03:29
0,4,0,1000000,0.0003,0.99,32,20000,0.5,16,0.01,True,50,Adam,1000000,288.33999640739677,0.6432929243142933,0.6923076923076923,0.9229063840457767,2026-05-28T23:09:58
0,5,0,1000000,0.0006,0.99,32,10000,0.3,32,0.01,True,50,RMSprop,1000000,365.64782013396507,0.815768392917588,1.0,0.9747769578794891,2026-05-28T23:44:55
0,7,0,500000,0.0006,0.95,256,20000,0.3,8,0.3,True,100,Adam,500000,316.7394690719305,0.7066527774285978,0.7692307692307693,0.9511212438002481,2026-05-29T00:46:22
0,6,0,1000000,0.0001,0.99,128,5000,0.3,8,0.3,False,200,RMSprop,1000000,401.56334601026595,0.8958967273738568,0.6923076923076923,0.9457685551280282,2026-05-29T01:00:15
0,1,0,1000000,0.0003,0.95,128,5000,0.5,16,0.1,False,50,Adam,1000000,409.2618450587895,0.9130722494223426,0.38461538461538464,0.9410434336382982,2026-05-29T01:11:40
0,9,0,500000,0.001,0.99,128,5000,0.3,32,0.01,False,200,RMSprop,500000,180.452632963064,0.4025938246701226,0.23076923076923078,0.9231069271500996,2026-05-29T03:52:04
0,3,0,1000000,0.0003,0.95,128,20000,0.5,32,0.3,True,200,Adam,1000000,159.6748403996757,0.35623810882967205,0.6923076923076923,0.9444969811723677,2026-05-29T04:56:30
0,8,0,500000,0.0003,0.99,256,5000,0.3,32,0.01,True,50,Adam,500000,396.8978802364321,0.885487969801781,0.23076923076923078,0.8353303308634139,2026-05-29T06:11:36
