problem,trial,seed,search_steps,lr,gamma,batch_size,mem_size,epsilon,weight_num,beta,homotopy,update_freq,optimizer,total_steps,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
5c,0,0,500000,0.001,0.99,32,10000,0.8,16,0.1,False,100,RMSprop,500000,9379.67457694545,0.1512626226764883,0.21978021978021978,0.5309424591890793,2026-06-02T04:11:38
5c,2,0,500000,0.0001,0.95,32,10000,0.3,32,0.3,False,100,Adam,500000,11296.2217465231,0.18217008636036422,0.13186813186813187,0.5013884018376127,2026-06-02T06:21:09
5c,1,0,1000000,0.0003,0.95,128,5000,0.5,16,0.1,False,50,Adam,1000000,10782.691387033323,0.17388856781052558,0.10989010989010989,0.5396726373553722,2026-06-02T08:57:35
5c,4,0,1000000,0.0003,0.99,32,20000,0.5,16,0.01,True,50,Adam,1000000,11498.44622678087,0.18543128748224166,0.10989010989010989,0.40652016408729774,2026-06-02T09:31:28
5c,5,0,1000000,0.0006,0.99,32,10000,0.3,32,0.01,True,50,RMSprop,1000000,9602.257806066033,0.1548521419849018,0.13186813186813187,0.5382346981910511,2026-06-02T11:14:19
5c,6,0,1000000,0.0001,0.99,128,5000,0.3,8,0.3,False,200,RMSprop,1000000,6572.160769590589,0.1059868619646229,0.15384615384615385,0.6362559570402373,2026-06-02T11:44:50
5c,7,0,500000,0.0006,0.95,256,20000,0.3,8,0.3,True,100,Adam,500000,975.4493239174008,0.015730718780629985,0.054945054945054944,0.48564041271989805,2026-06-02T12:13:58
5c,3,0,1000000,0.0003,0.95,128,20000,0.5,32,0.3,True,200,Adam,1000000,14242.082492212568,0.22967691815684818,0.054945054945054944,0.622051280155826,2026-06-02T14:37:56
5c,9,0,500000,0.001,0.99,128,5000,0.3,32,0.01,False,200,RMSprop,500000,1162.6303689750168,0.01874931985878822,0.14285714285714285,0.46713466779356627,2026-06-02T14:47:33
5c,8,0,500000,0.0003,0.99,256,5000,0.3,32,0.01,True,50,Adam,500000,2611.838961424766,0.04212018317616341,0.02197802197802198,0.5493126844891009,2026-06-02T17:51:21
