problem,trial,seed,search_steps,lr,gamma,batch_size,mem_size,epsilon,weight_num,beta,homotopy,update_freq,optimizer,total_steps,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
1b,0,0,500000,0.001,0.99,32,10000,0.8,16,0.1,False,100,RMSprop,500000,0.02727237279510498,0.0003389662058594947,1.0,0.9669748909165424,2026-05-29T08:27:57
1b,2,0,500000,0.0001,0.95,32,10000,0.3,32,0.3,False,100,Adam,500000,33.84229264889636,0.42062323007120334,1.0,0.9418005982978628,2026-05-29T10:10:32
1b,4,0,1000000,0.0003,0.99,32,20000,0.5,16,0.01,True,50,Adam,1000000,26.923491066140087,0.3346299819141343,0.6153846153846154,0.9644622494428706,2026-05-29T13:02:05
1b,1,0,1000000,0.0003,0.95,128,5000,0.5,16,0.1,False,50,Adam,1000000,35.78695935135952,0.44479334166169704,0.9230769230769231,0.93512514272665,2026-05-29T13:17:08
1b,5,0,1000000,0.0006,0.99,32,10000,0.3,32,0.01,True,50,RMSprop,1000000,0.02727237279510498,0.0003389662058594947,1.0,0.9669097690506383,2026-05-29T13:48:56
1b,6,0,1000000,0.0001,0.99,128,5000,0.3,8,0.3,False,200,RMSprop,1000000,43.92445497164586,0.545933643472979,0.6923076923076923,0.8693582634258981,2026-05-29T14:07:47
1b,7,0,500000,0.0006,0.95,256,20000,0.3,8,0.3,True,100,Adam,500000,54.15283705571558,0.6730614109454389,0.7692307692307693,0.894942086169786,2026-05-29T15:39:05
1b,3,0,1000000,0.0003,0.95,128,20000,0.5,32,0.3,True,200,Adam,1000000,59.202955513652945,0.7358289415042496,0.7692307692307693,0.9950722475771917,2026-05-29T17:17:24
1b,9,0,500000,0.001,0.99,128,5000,0.3,32,0.01,False,200,RMSprop,500000,68.56152966006535,0.8521459335935315,0.6153846153846154,0.716677179913338,2026-05-29T17:29:15
1b,8,0,500000,0.0003,0.99,256,5000,0.3,32,0.01,True,50,Adam,500000,16.029540332842444,0.1992299133308481,0.5384615384615384,0.8125045982898275,2026-05-29T20:09:15
