problem,trial,seed,search_steps,lr,gamma,batch_size,mem_size,epsilon,weight_num,beta,homotopy,update_freq,optimizer,total_steps,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
1c,0,0,500000,0.001,0.99,32,10000,0.8,16,0.1,False,100,RMSprop,500000,0.019052483154296876,0.009822665364585283,0.6923076923076923,0.7432019371312008,2026-05-29T15:03:26
1c,2,0,500000,0.0001,0.95,32,10000,0.3,32,0.3,False,100,Adam,500000,0.019052483154296876,0.009822665364585283,0.9230769230769231,0.7511959876543209,2026-05-29T16:52:12
1c,1,0,1000000,0.0003,0.95,128,5000,0.5,16,0.1,False,50,Adam,1000000,0.019052483154296876,0.009822665364585283,0.5384615384615384,0.7727721329097555,2026-05-29T19:13:08
1c,4,0,1000000,0.0003,0.99,32,20000,0.5,16,0.01,True,50,Adam,1000000,0.019052483154296876,0.009822665364585283,0.8461538461538461,0.7329288175218408,2026-05-29T19:48:04
1c,5,0,1000000,0.0006,0.99,32,10000,0.3,32,0.01,True,50,RMSprop,1000000,0.12587993237043976,0.06489844088971657,0.7692307692307693,0.9194283791894204,2026-05-29T20:51:30
1c,6,0,1000000,0.0001,0.99,128,5000,0.3,8,0.3,False,200,RMSprop,1000000,0.019052483154296876,0.009822665364585283,0.9230769230769231,1.0,2026-05-29T21:00:07
1c,7,0,500000,0.0006,0.95,256,20000,0.3,8,0.3,True,100,Adam,500000,0.12587993237043976,0.06489844088971657,0.8461538461538461,1.0,2026-05-29T22:02:12
1c,9,0,500000,0.001,0.99,128,5000,0.3,32,0.01,False,200,RMSprop,500000,0.024185927463531494,0.0124692550615285,0.8461538461538461,0.9624223987414394,2026-05-30T00:30:16
1c,3,0,1000000,0.0003,0.95,128,20000,0.5,32,0.3,True,200,Adam,1000000,0.019052483154296876,0.009822665364585283,0.7692307692307693,1.0,2026-05-30T00:36:45
1c,8,0,500000,0.0003,0.99,256,5000,0.3,32,0.01,True,50,Adam,500000,0.019052483154296876,0.009822665364585283,0.6153846153846154,0.9142940064345014,2026-05-30T03:01:42
