problem,trial,seed,search_steps,lr,gamma,batch_size,mem_size,epsilon,weight_num,beta,homotopy,update_freq,optimizer,total_steps,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
3b,0,0,500000,0.001,0.99,32,10000,0.8,16,0.1,False,100,RMSprop,500000,19.601715318063825,0.030288767393428444,0.8648351648351649,0.9348613122817647,2026-05-31T07:00:49
3b,2,0,500000,0.0001,0.95,32,10000,0.3,32,0.3,False,100,Adam,500000,119.66720776950211,0.18491097140928903,0.7489010989010989,0.8014115200991608,2026-05-31T09:40:57
3b,1,0,1000000,0.0003,0.95,128,5000,0.5,16,0.1,False,50,Adam,1000000,89.86831996185761,0.13886543066230875,0.7450549450549451,0.7870959068174715,2026-05-31T12:09:53
3b,4,0,1000000,0.0003,0.99,32,20000,0.5,16,0.01,True,50,Adam,1000000,35.63604483490675,0.05506517441519978,0.7093406593406594,0.8229284801023374,2026-05-31T13:41:46
3b,6,0,1000000,0.0001,0.99,128,5000,0.3,8,0.3,False,200,RMSprop,1000000,55.932901722301395,0.0864280815437136,0.12857142857142856,0.7320293900266885,2026-05-31T14:51:52
3b,5,0,1000000,0.0006,0.99,32,10000,0.3,32,0.01,True,50,RMSprop,1000000,9.56052636893123,0.014773021373310111,0.9456043956043956,0.8356078011566384,2026-05-31T15:02:06
3b,7,0,500000,0.0006,0.95,256,20000,0.3,8,0.3,True,100,Adam,500000,8.340928566322837,0.012888486598810037,0.639010989010989,0.8453259228003851,2026-05-31T15:36:44
3b,3,0,1000000,0.0003,0.95,128,20000,0.5,32,0.3,True,200,Adam,1000000,49.036840208573885,0.07577221802713753,0.40604395604395604,0.6957013966449404,2026-05-31T19:10:36
3b,9,0,500000,0.001,0.99,128,5000,0.3,32,0.01,False,200,RMSprop,500000,1.2535345114071221,0.0019369741178036667,0.004945054945054945,0.5900422757316365,2026-05-31T19:36:27
3b,8,0,500000,0.0003,0.99,256,5000,0.3,32,0.01,True,50,Adam,500000,15.575388351667229,0.024067246523635462,0.04835164835164835,0.6417219809507501,2026-05-31T23:55:11
