problem,trial,seed,search_steps,lr,gamma,batch_size,mem_size,epsilon,weight_num,beta,homotopy,update_freq,optimizer,total_steps,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
3a,0,0,500000,0.001,0.99,32,10000,0.8,16,0.1,False,100,RMSprop,500000,170.1283508527222,0.00359075064720437,0.7318681318681318,0.8156422574399138,2026-05-30T22:15:48
3a,2,0,500000,0.0001,0.95,32,10000,0.3,32,0.3,False,100,Adam,500000,1350.8079143322473,0.02851032393087875,0.4593406593406593,0.8149533253374773,2026-05-31T00:41:13
3a,1,0,1000000,0.0003,0.95,128,5000,0.5,16,0.1,False,50,Adam,1000000,15958.035508729647,0.3368123304779829,0.23626373626373626,0.7316170319896446,2026-05-31T03:31:07
3a,4,0,1000000,0.0003,0.99,32,20000,0.5,16,0.01,True,50,Adam,1000000,156.40780805383787,0.00330116312291373,0.8379120879120879,0.837929012345679,2026-05-31T04:12:50
3a,6,0,1000000,0.0001,0.99,128,5000,0.3,8,0.3,False,200,RMSprop,1000000,11088.879243267287,0.23404329801564056,0.10934065934065934,0.5409540375937576,2026-05-31T05:12:30
3a,5,0,1000000,0.0006,0.99,32,10000,0.3,32,0.01,True,50,RMSprop,1000000,204.0554046832461,0.004306819367609191,0.6318681318681318,0.8723556316165478,2026-05-31T05:16:48
3a,7,0,500000,0.0006,0.95,256,20000,0.3,8,0.3,True,100,Adam,500000,17089.353443272248,0.36069007093271416,0.27362637362637365,0.7042497294136314,2026-05-31T06:57:01
3a,9,0,500000,0.001,0.99,128,5000,0.3,32,0.01,False,200,RMSprop,500000,956.4095208143294,0.020186101191502406,0.00989010989010989,0.5405056484213461,2026-05-31T10:02:01
3a,3,0,1000000,0.0003,0.95,128,20000,0.5,32,0.3,True,200,Adam,1000000,5078.272448149248,0.10718266525523226,0.03571428571428571,0.7978539718932699,2026-05-31T10:19:28
3a,8,0,500000,0.0003,0.99,256,5000,0.3,32,0.01,True,50,Adam,500000,4813.433593570193,0.10159294265039819,0.046703296703296704,0.7277781124699509,2026-05-31T13:36:39
