problem,trial,seed,search_steps,lr,gamma,batch_size,mem_size,epsilon,weight_num,beta,homotopy,update_freq,optimizer,total_steps,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
2c,0,0,500000,0.001,0.99,32,10000,0.8,16,0.1,False,100,RMSprop,500000,18.435842064565108,0.05574709536551499,0.6923076923076923,0.8978175913592581,2026-05-30T13:26:08
2c,2,0,500000,0.0001,0.95,32,10000,0.3,32,0.3,False,100,Adam,500000,22.147933369773803,0.06697187735660814,0.15384615384615385,0.49330920589253296,2026-05-30T15:37:13
2c,1,0,1000000,0.0003,0.95,128,5000,0.5,16,0.1,False,50,Adam,1000000,18.187786440746862,0.05499701405821593,0.46153846153846156,0.6309154514175235,2026-05-30T18:30:29
2c,4,0,1000000,0.0003,0.99,32,20000,0.5,16,0.01,True,50,Adam,1000000,5.739811513717365,0.017356289922351914,0.5384615384615384,0.652302788748728,2026-05-30T18:59:43
2c,6,0,1000000,0.0001,0.99,128,5000,0.3,8,0.3,False,200,RMSprop,1000000,64.8287634687732,0.19603201453263083,0.6923076923076923,0.8179101717351909,2026-05-30T20:22:34
2c,5,0,1000000,0.0006,0.99,32,10000,0.3,32,0.01,True,50,RMSprop,1000000,28.748537509165644,0.08693106919281626,0.6923076923076923,0.8445368996326099,2026-05-30T20:27:40
2c,7,0,500000,0.0006,0.95,256,20000,0.3,8,0.3,True,100,Adam,500000,80.86799118922126,0.24453212394936455,0.38461538461538464,0.6379374003445741,2026-05-30T21:54:47
2c,3,0,1000000,0.0003,0.95,128,20000,0.5,32,0.3,True,200,Adam,1000000,29.486766110517262,0.08916335671713826,0.5384615384615384,0.7889585829910934,2026-05-31T00:18:58
2c,9,0,500000,0.001,0.99,128,5000,0.3,32,0.01,False,200,RMSprop,500000,0.0018380826244354248,5.558073615256633e-06,0.07692307692307693,0.7976178141507361,2026-05-31T00:21:09
2c,8,0,500000,0.0003,0.99,256,5000,0.3,32,0.01,True,50,Adam,500000,17.944615662731806,0.05426170375860301,0.15384615384615385,0.8464566250478619,2026-05-31T03:32:09
