problem,trial,seed,search_steps,lr,gamma,batch_size,mem_size,epsilon,weight_num,beta,homotopy,update_freq,optimizer,total_steps,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
4b,0,0,500000,0.001,0.99,32,10000,0.8,16,0.1,False,100,RMSprop,500000,53921.00168248999,0.12138320893605391,0.2835164835164835,0.6777134412532871,2026-06-01T02:12:34
4b,2,0,500000,0.0001,0.95,32,10000,0.3,32,0.3,False,100,Adam,500000,92323.10973714512,0.20783136383182677,0.12032967032967033,0.7223076443808462,2026-06-01T04:25:16
4b,1,0,1000000,0.0003,0.95,128,5000,0.5,16,0.1,False,50,Adam,1000000,89368.16868913597,0.2011794060522536,0.567032967032967,0.7296164196195488,2026-06-01T07:19:38
4b,4,0,1000000,0.0003,0.99,32,20000,0.5,16,0.01,True,50,Adam,1000000,141679.8965965303,0.31893992978620417,0.22582417582417583,0.7681587722206332,2026-06-01T08:23:16
4b,5,0,1000000,0.0006,0.99,32,10000,0.3,32,0.01,True,50,RMSprop,1000000,47358.35796354218,0.10660984180907404,0.3159340659340659,0.8152599722739292,2026-06-01T10:15:02
4b,7,0,500000,0.0006,0.95,256,20000,0.3,8,0.3,True,100,Adam,500000,6515.136205301615,0.01466642151627136,0.18571428571428572,0.5386809782562226,2026-06-01T10:49:50
4b,6,0,1000000,0.0001,0.99,128,5000,0.3,8,0.3,False,200,RMSprop,1000000,71846.33729658503,0.16173547781464107,0.12087912087912088,0.6044125876782966,2026-06-01T11:09:50
4b,9,0,500000,0.001,0.99,128,5000,0.3,32,0.01,False,200,RMSprop,500000,11991.836285857427,0.026995187848779727,0.1076923076923077,0.5986841589578783,2026-06-01T14:09:28
4b,3,0,1000000,0.0003,0.95,128,20000,0.5,32,0.3,True,200,Adam,1000000,88918.09493736833,0.20016623132361747,0.12087912087912088,0.6055710944844205,2026-06-01T14:11:57
4b,8,0,500000,0.0003,0.99,256,5000,0.3,32,0.01,True,50,Adam,500000,46800.395586913764,0.10535379571149686,0.025824175824175823,0.5744930853320226,2026-06-01T17:52:45
