problem,trial,seed,search_steps,lr,gamma,batch_size,mem_size,epsilon,weight_num,beta,homotopy,update_freq,optimizer,total_steps,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
1a,0,0,500000,0.001,0.99,32,10000,0.8,16,0.1,False,100,RMSprop,500000,131.29052654203275,0.6188552724556052,0.23076923076923078,0.9553960785986451,2026-05-29T02:01:33
1a,2,0,500000,0.0001,0.95,32,10000,0.3,32,0.3,False,100,Adam,500000,104.14527334484028,0.49090252898140846,0.5384615384615384,0.9491659672955848,2026-05-29T02:55:44
1a,4,0,1000000,0.0003,0.99,32,20000,0.5,16,0.01,True,50,Adam,1000000,93.9412462775106,0.4428044969510853,0.9230769230769231,0.9968814092026363,2026-05-29T05:40:59
1a,1,0,1000000,0.0003,0.95,128,5000,0.5,16,0.1,False,50,Adam,1000000,92.4641763691302,0.4358421324556236,0.23076923076923078,0.9590875464582614,2026-05-29T05:54:42
1a,5,0,1000000,0.0006,0.99,32,10000,0.3,32,0.01,True,50,RMSprop,1000000,99.98589064178029,0.471296728138457,0.38461538461538464,0.9609511896001962,2026-05-29T07:13:27
1a,6,0,1000000,0.0001,0.99,128,5000,0.3,8,0.3,False,200,RMSprop,1000000,65.87473501573348,0.31050928166588604,0.3076923076923077,0.9567453154081063,2026-05-29T08:15:28
1a,7,0,500000,0.0006,0.95,256,20000,0.3,8,0.3,True,100,Adam,500000,102.18553938486032,0.4816650636007237,0.23076923076923078,0.966333517066448,2026-05-29T08:20:59
1a,9,0,500000,0.001,0.99,128,5000,0.3,32,0.01,False,200,RMSprop,500000,112.69888367818876,0.5312211033122742,0.9230769230769231,0.8258522205124181,2026-05-29T10:22:36
1a,3,0,1000000,0.0003,0.95,128,20000,0.5,32,0.3,True,200,Adam,1000000,108.43240393555052,0.5111104863995497,0.6923076923076923,0.9049981936096261,2026-05-29T10:46:04
1a,8,0,500000,0.0003,0.99,256,5000,0.3,32,0.01,True,50,Adam,500000,88.0839887451219,0.4151955383954307,0.3076923076923077,0.949098041346987,2026-05-29T12:58:40
