problem,trial,seed,search_steps,lr,gamma,batch_size,mem_size,epsilon,weight_num,beta,homotopy,update_freq,optimizer,total_steps,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
4a,0,0,500000,0.001,0.99,32,10000,0.8,16,0.1,False,100,RMSprop,500000,13.653526387220555,0.33487106820205553,0.019230769230769232,0.7421780017902817,2026-05-31T16:49:55
4a,2,0,500000,0.0001,0.95,32,10000,0.3,32,0.3,False,100,Adam,500000,18.018823503513268,0.4419358415722906,0.005494505494505495,0.8074660027228302,2026-05-31T18:30:53
4a,1,0,1000000,0.0003,0.95,128,5000,0.5,16,0.1,False,50,Adam,1000000,7.973200009808175,0.1955534364200715,0.004945054945054945,0.7420623952811978,2026-05-31T22:00:22
4a,4,0,1000000,0.0003,0.99,32,20000,0.5,16,0.01,True,50,Adam,1000000,22.12265232804306,0.5425877539950734,0.023626373626373626,0.7201360524064024,2026-05-31T22:28:09
4a,5,0,1000000,0.0006,0.99,32,10000,0.3,32,0.01,True,50,RMSprop,1000000,5.031267039558507,0.12339857998324275,0.00934065934065934,0.8469884643779992,2026-06-01T00:20:14
4a,6,0,1000000,0.0001,0.99,128,5000,0.3,8,0.3,False,200,RMSprop,1000000,20.156783549586077,0.49437218249237885,0.42637362637362636,0.548711632121418,2026-06-01T00:20:51
4a,7,0,500000,0.0006,0.95,256,20000,0.3,8,0.3,True,100,Adam,500000,9.80960562032147,0.24059374988959575,0.025824175824175823,0.6970786713756819,2026-06-01T01:38:51
4a,3,0,1000000,0.0003,0.95,128,20000,0.5,32,0.3,True,200,Adam,1000000,24.53030259929476,0.6016386098198121,0.1,0.6871859979327682,2026-06-01T05:08:04
4a,9,0,500000,0.001,0.99,128,5000,0.3,32,0.01,False,200,RMSprop,500000,1.7772908372109055,0.0435904442766964,0.006043956043956044,0.5581375689076501,2026-06-01T06:08:17
4a,8,0,500000,0.0003,0.99,256,5000,0.3,32,0.01,True,50,Adam,500000,0.40065951853389975,0.009826712685914476,0.004395604395604396,0.7183531746031747,2026-06-01T08:22:26
