problem,trial,seed,search_steps,lr,gamma,batch_size,mem_size,epsilon,weight_num,beta,homotopy,update_freq,optimizer,total_steps,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
5a,0,0,500000,0.001,0.99,32,10000,0.8,16,0.1,False,100,RMSprop,500000,1753.9485932162934,0.43648005831475006,0.3956043956043956,0.8613692320915002,2026-06-01T11:46:09
5a,2,0,500000,0.0001,0.95,32,10000,0.3,32,0.3,False,100,Adam,500000,737.9803199248239,0.18365058948805954,0.24175824175824176,0.5070009561927287,2026-06-01T13:54:49
5a,1,0,1000000,0.0003,0.95,128,5000,0.5,16,0.1,False,50,Adam,1000000,1331.6557464179905,0.33139008754290156,0.5054945054945055,0.7881661088918216,2026-06-01T17:06:24
5a,4,0,1000000,0.0003,0.99,32,20000,0.5,16,0.01,True,50,Adam,1000000,1365.4257093261867,0.33979393440390177,0.38461538461538464,0.7041645070104596,2026-06-01T17:14:48
5a,6,0,1000000,0.0001,0.99,128,5000,0.3,8,0.3,False,200,RMSprop,1000000,989.451454743718,0.24623060808994549,0.2967032967032967,0.7137892549919184,2026-06-01T18:26:38
5a,5,0,1000000,0.0006,0.99,32,10000,0.3,32,0.01,True,50,RMSprop,1000000,1584.655141983811,0.3943504225021303,0.42857142857142855,0.8852149956698641,2026-06-01T18:38:18
5a,7,0,500000,0.0006,0.95,256,20000,0.3,8,0.3,True,100,Adam,500000,896.3274697282368,0.22305617608705341,0.46153846153846156,0.7275024435586704,2026-06-01T20:21:25
5a,3,0,1000000,0.0003,0.95,128,20000,0.5,32,0.3,True,200,Adam,1000000,1097.3250255180528,0.27307555818957224,0.04395604395604396,0.5489320053790638,2026-06-01T22:17:48
5a,9,0,500000,0.001,0.99,128,5000,0.3,32,0.01,False,200,RMSprop,500000,364.4375857449031,0.09069236082132191,0.02197802197802198,0.7142912506847623,2026-06-01T22:46:35
5a,8,0,500000,0.0003,0.99,256,5000,0.3,32,0.01,True,50,Adam,500000,24.7483529772611,0.006158768046274685,0.15384615384615385,0.532939204975735,2026-06-02T01:56:17
