env_name,hypervolume,normalized_hv,non_dominated,ordering,architecture_idx,clip_range,entropy,lr,n_epochs,n_steps,seed,smoothness,target_kl,sweep_timesteps
problem_0,446.76455500830343,0.9967416267328941,1.0,1.0,0.0,0.22660504286201627,0.0054618806457684,5.341764167717242e-05,20.0,2048.0,2.0,0.0190414056698512,0.0134512810628294,200000.0
problem_1a,153.64094172426203,0.7242069123750794,0.6153846153846154,0.9472103091921713,0.0,0.14883491382189,0.0998128803564572,9.383349799115234e-05,20.0,2048.0,2.0,0.0762661124956977,0.0112097023491569,200000.0
problem_1b,50.869758315255325,0.6322562799598606,0.7384615384615385,0.9864459870904885,0.0,0.0872684119785699,0.0034058729051487996,9.897950949399807e-05,20.0,2048.0,2.0,0.0733333662272275,0.0156189898631832,200000.0
problem_1c,0.4470599274065541,0.23048544534941642,0.21538461538461534,0.9448892296502767,0.0,0.1819730555160493,0.1574747525641481,6.250395729846979e-05,20.0,2048.0,2.0,0.05827520856324699,0.0247864548559784,200000.0
problem_2a,186.85384160054576,0.9893796794791179,1.0,1.0,0.0,0.1420785964010699,0.0020414565608588,3.489707201132105e-05,20.0,2048.0,2.0,0.0147092447394647,0.009680963995183,200000.0
problem_2b,167.73098866268518,0.6054178701529722,0.5538461538461539,0.895728786978865,0.0,0.0669448729638026,0.0197994142210764,6.819163368367117e-05,20.0,2048.0,2.0,0.025122211012333202,0.026402308302504403,200000.0
problem_2c,225.02502673952182,0.6804403933025124,0.7692307692307692,0.9868315508021391,0.0,0.2949477008396939,0.0289880986522899,4.530117604734148e-05,20.0,2048.0,2.0,0.0676088207380621,0.020526783192317,200000.0
problem_3a,39197.2233339869,0.8273015893569134,0.26802197802197797,0.9173007577365789,0.0,0.2688312851835575,0.0358338466119333,2.547469547625341e-05,20.0,2048.0,2.0,0.0037386929375694,0.011936433356004,200000.0
problem_3b,195.10865602163284,0.3014838549990432,0.01384615384615378,0.8663789442512551,0.0,0.0692498552213599,0.0630913661527184,5.3713827512798254e-05,20.0,2048.0,2.0,0.0178633945993857,0.0139510734824748,200000.0
problem_4a,33.79257366084876,0.8288082447108156,0.016703296703296622,0.8536552651437066,0.0,0.0860356625010409,0.0187412703013852,6.907920243280852e-05,20.0,2048.0,2.0,0.0918801500937673,0.028924753177372097,200000.0
problem_4b,356261.683278615,0.8019915244148974,0.7182417582417583,0.9631731924202646,0.0,0.2454120118973135,0.0244406362852499,8.584537388728772e-05,20.0,2048.0,2.0,0.062520775727337,0.0219480407031154,200000.0
problem_5a,2362.3646079250293,0.5878878353766337,0.2615384615384615,0.9792508734035872,0.0,0.1478361904201221,0.026734221165939397,8.035485951153299e-05,20.0,2048.0,2.0,0.0011027113159998,0.0180545646767337,200000.0
problem_5b,2354.6697507197787,0.9401100274533027,0.12087912087912082,0.9429038527896564,0.0,0.0955568475001822,0.0268592784624506,6.599819476144158e-05,20.0,2048.0,2.0,0.0654042681231279,0.0109447576719837,200000.0
problem_5c,56148.02262003501,0.9054788724206586,0.6483516483516484,0.9161286064080713,0.0,0.21328028599785892,0.0053320231497026,6.612703691595257e-05,20.0,2048.0,2.0,0.0870037976257064,0.0194197911668886,200000.0
problem_5d,102279.91726833458,0.6994422560350072,0.026813186813186764,0.621020555930228,0.0,0.1255191877945415,0.1343823250501083,9.694149910204248e-05,20.0,2048.0,2.0,0.0138316647399263,0.0068736594044941,200000.0
problem_5e,327289.78339784185,0.7207816529658626,0.288021978021978,0.7682261728478668,0.0,0.192598707751421,0.06236055868456329,9.869332000412338e-05,20.0,2048.0,2.0,0.0640933141370918,0.0160389071160549,200000.0
