hypervolume,normalized_hv,non_dominated,ordering,arch_idx,problem,seed
4236663.566505387,0,0.053296703296703295,0.8760951092606851,0,problem_6a,0
2975214.9996991563,0,0.07252747252747253,0.832247198715981,0,problem_6a,1
3680643.7784817666,0,0.06813186813186813,0.9310166494940656,0,problem_6a,2
2634260.239313256,0,0.025274725274725275,0.9229768515330551,0,problem_6a,3
2816364.6451697606,0,0.056043956043956046,0.8592925162394693,0,problem_6a,4
8520153.844228277,0,0.04065934065934066,0.8305614165730859,2,problem_6a,0
3386963.336513283,0,0.2714285714285714,0.7449120598073147,2,problem_6a,1
5839530.910563069,0,0.11208791208791209,0.7702788200566545,2,problem_6a,2
9822684.135735484,0,0.17087912087912088,0.668697896701844,2,problem_6a,3
5929302.433166431,0,0.16428571428571428,0.7446158963852376,2,problem_6a,4
11213498.484937452,0,0.10054945054945055,0.6452414052911405,3,problem_6a,0
12253970.885746595,0,0.05274725274725275,0.6169291117928007,3,problem_6a,1
13213313.919269606,0,0.06098901098901099,0.7886392475929194,3,problem_6a,2
15199147.268357182,0,0.09340659340659341,0.71326043381287,3,problem_6a,3
12589682.809307678,0,0.057692307692307696,0.6417800348114961,3,problem_6a,4
3148478.1016009827,0,0.08571428571428572,0.7960514564781078,0,problem_6b,0
2094602.7607301679,0,0.06868131868131869,0.8598678148479257,0,problem_6b,1
3191356.484129504,0,0.06043956043956044,0.8583932248191253,0,problem_6b,2
3748833.0865851925,0,0.057692307692307696,0.8871677628446668,0,problem_6b,3
3162698.094398253,0,0.03901098901098901,0.8384353768349553,0,problem_6b,4
6477791.8712701965,0,0.18516483516483517,0.7006340252014693,2,problem_6b,0
9827372.56650304,0,0.13351648351648351,0.7371821383741242,2,problem_6b,1
4881353.5727941375,0,0.15219780219780218,0.6742766534400824,2,problem_6b,2
4672331.368002096,0,0.07802197802197802,0.7843949500346474,2,problem_6b,3
7892600.70661683,0,0.10164835164835165,0.7406031957501967,2,problem_6b,4
14207035.489161806,0,0.1021978021978022,0.7063101660148838,3,problem_6b,0
12264964.591601675,0,0.0912087912087912,0.7014788406375413,3,problem_6b,1
12178794.894986436,0,0.06098901098901099,0.6440458970692259,3,problem_6b,2
11092084.188301438,0,0.024725274725274724,0.6748819648825187,3,problem_6b,3
13623168.997484243,0,0.0967032967032967,0.6101387319543781,3,problem_6b,4
5499034.680363871,0,0.06483516483516484,0.8703367563662984,0,problem_6c,0
4335426.975249886,0,0.043406593406593405,0.8254513258932893,0,problem_6c,1
5834312.986830388,0,0.06978021978021978,0.8211849593495936,0,problem_6c,2
6771971.742877667,0,0.0521978021978022,0.8821002351058089,0,problem_6c,3
4869286.870514154,0,0.08186813186813187,0.808459648702752,0,problem_6c,4
17202172.79960365,0,0.13791208791208792,0.6522547977869894,2,problem_6c,0
16236460.848786203,0,0.16923076923076924,0.6716859837985812,2,problem_6c,1
20982715.610190913,0,0.06978021978021978,0.5668231002944537,2,problem_6c,2
20339250.185842995,0,0.17857142857142858,0.46928447827316516,2,problem_6c,3
17329106.253983337,0,0.1532967032967033,0.5859294373730998,2,problem_6c,4
28622161.660371587,0,0.05714285714285714,0.8300792682926829,3,problem_6c,0
32384175.525942694,0,0.02197802197802198,0.6973585291769214,3,problem_6c,1
33276362.950632017,0,0.07142857142857142,0.6619770936462649,3,problem_6c,2
28343208.27686021,0,0.03461538461538462,0.520994993372683,3,problem_6c,3
28350543.37773211,0,0.08406593406593407,0.5250816711017676,3,problem_6c,4
