problem,trial,seed,search_steps,lr,gamma,batch_size,tau,buffer_size,epsilon_start,epsilon_final,epsilon_decay,weight_batch,total_steps,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
3a,0,0,1000000,0.001,0.99,32,0.01,20000,0.8,0.05,200000,5,1000000,3613.529526528976,0.07626761454537667,0.2549450549450549,0.6892960575256727,2026-05-27T03:59:54
3a,2,0,500000,0.0001,0.95,32,0.01,5000,1.0,0.05,200000,5,500000,9775.221323907452,0.20631706661150537,0.3824175824175824,0.7845458856195539,2026-05-27T04:07:11
3a,3,0,500000,0.0003,0.95,128,0.05,20000,1.0,0.05,100000,7,500000,31194.532449700993,0.658395776021885,0.28846153846153844,0.7704880579962825,2026-05-27T04:16:02
3a,4,0,500000,0.0003,0.99,32,0.05,10000,0.5,0.05,100000,3,500000,12632.104319364207,0.2666148030763937,0.3478021978021978,0.742352498803571,2026-05-27T04:38:24
3a,5,0,500000,0.0006,0.99,32,0.05,5000,1.0,0.05,100000,3,500000,335.55856940447796,0.0070823419155292555,0.22637362637362637,0.6706923764724694,2026-05-27T04:43:58
3a,1,0,1000000,0.0003,0.95,128,0.001,10000,0.8,0.05,200000,7,1000000,1135.7720395851384,0.023971749363205605,0.23186813186813188,0.7622273778281194,2026-05-27T04:47:11
3a,7,0,500000,0.0006,0.95,256,0.001,5000,1.0,0.05,100000,5,500000,21242.590046578025,0.4483488117984461,0.29395604395604397,0.5944972527778487,2026-05-27T05:20:37
3a,6,0,1000000,0.0001,0.99,128,0.001,5000,0.5,0.05,200000,7,1000000,21070.793376685142,0.44472284939703866,0.20604395604395603,0.6584837471237127,2026-05-27T05:38:02
3a,8,0,500000,0.0003,0.99,256,0.005,5000,1.0,0.05,100000,3,500000,12329.125403016444,0.2602200914688803,0.07692307692307693,0.5494264076695616,2026-05-27T05:42:59
3a,9,0,1000000,0.001,0.99,128,0.005,5000,1.0,0.05,100000,5,1000000,910.8142838631064,0.019223762311642387,0.0521978021978022,0.6913331169061095,2026-05-27T06:14:27
