problem,trial,seed,search_steps,lr,gamma,batch_size,tau,buffer_size,epsilon_start,epsilon_final,epsilon_decay,weight_batch,total_steps,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
2c,0,0,1000000,0.001,0.99,32,0.01,20000,0.8,0.05,200000,5,1000000,10.524221161459822,0.03182359442443572,0.07692307692307693,0.2787654320987655,2026-05-27T01:47:18
2c,2,0,500000,0.0001,0.95,32,0.01,5000,1.0,0.05,200000,5,500000,18.66018034749584,0.05642545915323224,0.9230769230769231,0.9678899082568806,2026-05-27T01:59:17
2c,3,0,500000,0.0003,0.95,128,0.05,20000,1.0,0.05,100000,7,500000,18.51265366170312,0.055979361589961585,0.7692307692307693,0.9895833333333336,2026-05-27T02:11:22
2c,4,0,500000,0.0003,0.99,32,0.05,10000,0.5,0.05,100000,3,500000,18.608431639053528,0.05626897917393579,0.6923076923076923,0.9605291231064644,2026-05-27T02:25:13
2c,5,0,500000,0.0006,0.99,32,0.05,5000,1.0,0.05,100000,3,500000,18.660152997524914,0.05642537645120908,0.7692307692307693,0.8227007588628382,2026-05-27T02:37:11
2c,1,0,1000000,0.0003,0.95,128,0.001,10000,0.8,0.05,200000,7,1000000,56.10495262732381,0.16965257858249622,1.0,0.9999999999999998,2026-05-27T02:40:25
2c,7,0,500000,0.0006,0.95,256,0.001,5000,1.0,0.05,100000,5,500000,49.3790443891448,0.14931448680126178,0.8461538461538461,0.9728682170542635,2026-05-27T03:15:44
2c,8,0,500000,0.0003,0.99,256,0.005,5000,1.0,0.05,100000,3,500000,51.97019510307085,0.15714972022590137,0.5384615384615384,0.3922720797720797,2026-05-27T03:29:15
2c,6,0,1000000,0.0001,0.99,128,0.001,5000,0.5,0.05,200000,7,1000000,16.171144276789992,0.048899004396465544,0.7692307692307693,0.7118055555555556,2026-05-27T03:30:12
2c,9,0,1000000,0.001,0.99,128,0.005,5000,1.0,0.05,100000,5,1000000,16.171144276789992,0.048899004396465544,0.07692307692307693,0.502991452991453,2026-05-27T04:05:43
