problem,trial,seed,search_steps,lr,gamma,batch_size,tau,buffer_size,epsilon_start,epsilon_final,epsilon_decay,weight_batch,total_steps,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
5b,0,0,1000000,0.001,0.99,32,0.01,20000,0.8,0.05,200000,5,1000000,2182.940928531138,0.8715467023021064,0.13186813186813187,0.6445987036425392,2026-05-27T14:36:46
5b,2,0,500000,0.0001,0.95,32,0.01,5000,1.0,0.05,200000,5,500000,2342.133977757892,0.9351050768186137,0.6263736263736264,0.7912985386261248,2026-05-27T14:50:01
5b,3,0,500000,0.0003,0.95,128,0.05,20000,1.0,0.05,100000,7,500000,2399.907297404916,0.9581712741496108,0.6373626373626373,0.7370096312033229,2026-05-27T14:59:34
5b,4,0,500000,0.0003,0.99,32,0.05,10000,0.5,0.05,100000,3,500000,2363.1631537152466,0.9435010479226489,0.06593406593406594,0.5739215961529365,2026-05-27T15:15:01
5b,5,0,500000,0.0006,0.99,32,0.05,5000,1.0,0.05,100000,3,500000,2032.0476934832166,0.8113020572515398,0.054945054945054944,0.5456962957521913,2026-05-27T15:27:00
5b,1,0,1000000,0.0003,0.95,128,0.001,10000,0.8,0.05,200000,7,1000000,2400.7217893207935,0.9584964628590518,0.6483516483516484,0.924915609239461,2026-05-27T15:27:01
5b,7,0,500000,0.0006,0.95,256,0.001,5000,1.0,0.05,100000,5,500000,2352.5943167326977,0.9392814032685414,0.43956043956043955,0.7784893547697137,2026-05-27T16:04:09
5b,8,0,500000,0.0003,0.99,256,0.005,5000,1.0,0.05,100000,3,500000,2341.2628623191404,0.934757280972173,0.2857142857142857,0.6498138367494865,2026-05-27T16:18:30
5b,6,0,1000000,0.0001,0.99,128,0.001,5000,0.5,0.05,200000,7,1000000,2331.160504561053,0.9307238797589475,0.25274725274725274,0.53146011989633,2026-05-27T16:21:16
5b,9,0,1000000,0.001,0.99,128,0.005,5000,1.0,0.05,100000,5,1000000,1719.2546432855397,0.68641835204462,0.10989010989010989,0.7341290841537301,2026-05-27T16:57:18
