problem,trial,seed,search_steps,lr,gamma,batch_size,tau,buffer_size,epsilon_start,epsilon_final,epsilon_decay,weight_batch,total_steps,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
2b,0,0,1000000,0.001,0.99,32,0.01,20000,0.8,0.05,200000,5,1000000,173.19487689646905,0.6251395423593152,0.6923076923076923,0.90546875,2026-05-26T23:39:29
2b,2,0,500000,0.0001,0.95,32,0.01,5000,1.0,0.05,200000,5,500000,143.72986904723265,0.5187868496437215,0.46153846153846156,0.9492187499999998,2026-05-26T23:54:54
2b,3,0,500000,0.0003,0.95,128,0.05,20000,1.0,0.05,100000,7,500000,248.23010670842464,0.8959760131950659,0.7692307692307693,0.9294478527607362,2026-05-27T00:05:31
2b,4,0,500000,0.0003,0.99,32,0.05,10000,0.5,0.05,100000,3,500000,159.711067059085,0.5764703042037255,0.38461538461538464,0.6578525641025641,2026-05-27T00:17:24
2b,5,0,500000,0.0006,0.99,32,0.05,5000,1.0,0.05,100000,3,500000,125.44759111616534,0.4527977449778534,0.9230769230769231,0.9362068965517242,2026-05-27T00:29:56
2b,1,0,1000000,0.0003,0.95,128,0.001,10000,0.8,0.05,200000,7,1000000,146.89131930267126,0.5301979698875265,0.6153846153846154,0.92255969836615,2026-05-27T00:31:30
2b,7,0,500000,0.0006,0.95,256,0.001,5000,1.0,0.05,100000,5,500000,148.95140983383516,0.5376337790462489,0.5384615384615384,0.856451612903226,2026-05-27T01:10:07
2b,8,0,500000,0.0003,0.99,256,0.005,5000,1.0,0.05,100000,3,500000,225.50744271192207,0.8139595238710234,0.7692307692307693,0.8949370941558442,2026-05-27T01:21:50
2b,6,0,1000000,0.0001,0.99,128,0.001,5000,0.5,0.05,200000,7,1000000,152.9422317073526,0.5520384808731947,0.6153846153846154,0.8239576054041461,2026-05-27T01:25:45
2b,9,0,1000000,0.001,0.99,128,0.005,5000,1.0,0.05,100000,5,1000000,213.90144768885676,0.7720681784262007,0.5384615384615384,0.7561349693251532,2026-05-27T02:00:18
