problem,trial,seed,search_steps,lr,gamma,batch_size,tau,buffer_size,epsilon_start,epsilon_final,epsilon_decay,weight_batch,total_steps,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
5c,0,0,1000000,0.001,0.99,32,0.01,20000,0.8,0.05,200000,5,1000000,36119.23129034811,0.5824817917953775,0.08791208791208792,0.5067142703157154,2026-05-27T16:44:59
5c,2,0,500000,0.0001,0.95,32,0.01,5000,1.0,0.05,200000,5,500000,54310.8365972193,0.8758512372744732,0.6483516483516484,0.8357066491196148,2026-05-27T16:56:16
5c,3,0,500000,0.0003,0.95,128,0.05,20000,1.0,0.05,100000,7,500000,58266.138982796176,0.9396369696485453,0.5714285714285714,0.6599234793904171,2026-05-27T17:07:19
5c,4,0,500000,0.0003,0.99,32,0.05,10000,0.5,0.05,100000,3,500000,35653.32063510204,0.5749682190091038,0.5164835164835165,0.6620591239636744,2026-05-27T17:23:20
5c,5,0,500000,0.0006,0.99,32,0.05,5000,1.0,0.05,100000,3,500000,43800.509932181674,0.70635499692005,0.03296703296703297,0.6663287218289928,2026-05-27T17:34:31
5c,1,0,1000000,0.0003,0.95,128,0.001,10000,0.8,0.05,200000,7,1000000,59466.19510475951,0.958989841102457,0.6043956043956044,0.6276279866977531,2026-05-27T17:35:25
5c,7,0,500000,0.0006,0.95,256,0.001,5000,1.0,0.05,100000,5,500000,48689.28634100896,0.7851945275681355,0.4065934065934066,0.5638763233922273,2026-05-27T18:11:45
5c,8,0,500000,0.0003,0.99,256,0.005,5000,1.0,0.05,100000,3,500000,45256.89730654938,0.7298416298594546,0.34065934065934067,0.5197120687150595,2026-05-27T18:26:56
5c,6,0,1000000,0.0001,0.99,128,0.001,5000,0.5,0.05,200000,7,1000000,36547.611559254896,0.5893901256022847,0.42857142857142855,0.5415381670297968,2026-05-27T18:27:57
5c,9,0,1000000,0.001,0.99,128,0.005,5000,1.0,0.05,100000,5,1000000,36874.76303246391,0.5946659791987096,0.14285714285714285,0.5074211541731822,2026-05-27T19:04:24
