problem,trial,seed,search_steps,lr,gamma,batch_size,tau,buffer_size,epsilon_start,epsilon_final,epsilon_decay,weight_batch,total_steps,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
4a,0,0,1000000,0.001,0.99,32,0.01,20000,0.8,0.05,200000,5,1000000,1.9121216706936972,0.04689735151475736,0.10274725274725274,0.8633194608626101,2026-05-27T08:09:25
4a,2,0,500000,0.0001,0.95,32,0.01,5000,1.0,0.05,200000,5,500000,24.36378178282139,0.5975544631965259,0.22362637362637364,0.8900360321561871,2026-05-27T08:24:49
4a,3,0,500000,0.0003,0.95,128,0.05,20000,1.0,0.05,100000,7,500000,25.69382751760265,0.6301756207885065,0.17747252747252748,0.776862200838179,2026-05-27T08:35:30
4a,4,0,500000,0.0003,0.99,32,0.05,10000,0.5,0.05,100000,3,500000,1.9753579406897954,0.048448305948223525,0.03406593406593406,0.769589205132325,2026-05-27T08:47:50
4a,5,0,500000,0.0006,0.99,32,0.05,5000,1.0,0.05,100000,3,500000,2.013892420909898,0.04939341581859332,0.17912087912087912,0.8256572527446581,2026-05-27T09:01:06
4a,1,0,1000000,0.0003,0.95,128,0.001,10000,0.8,0.05,200000,7,1000000,25.964667139217813,0.6368183261841324,0.03626373626373627,0.8283984865263935,2026-05-27T09:05:31
4a,7,0,500000,0.0006,0.95,256,0.001,5000,1.0,0.05,100000,5,500000,15.992740358627593,0.39224343187884414,0.13076923076923078,0.8574395533407162,2026-05-27T09:40:28
4a,8,0,500000,0.0003,0.99,256,0.005,5000,1.0,0.05,100000,3,500000,18.126161635015155,0.44456845337787465,0.025824175824175823,0.7413098167952633,2026-05-27T09:52:39
4a,6,0,1000000,0.0001,0.99,128,0.001,5000,0.5,0.05,200000,7,1000000,17.838821122486063,0.43752104147567145,0.028021978021978023,0.815553813723262,2026-05-27T09:56:18
4a,9,0,1000000,0.001,0.99,128,0.005,5000,1.0,0.05,100000,5,1000000,2.3548343471139175,0.05775547436558298,0.020879120879120878,0.6851181165349576,2026-05-27T10:32:38
