problem,trial,seed,search_steps,lr,gamma,batch_size,tau,buffer_size,epsilon_start,epsilon_final,epsilon_decay,weight_batch,total_steps,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
1a,0,0,1000000,0.001,0.99,32,0.01,20000,0.8,0.05,200000,5,1000000,115.05963765352294,0.5423488296081875,0.38461538461538464,0.9594155844155843,2026-05-26T15:22:45
1a,2,0,500000,0.0001,0.95,32,0.01,5000,1.0,0.05,200000,5,500000,111.8069343162922,0.5270167819502423,0.7692307692307693,0.9858156028368794,2026-05-26T15:23:19
1a,3,0,500000,0.0003,0.95,128,0.05,20000,1.0,0.05,100000,7,500000,112.21295417587437,0.528930610292942,1.0,1.0,2026-05-26T15:41:53
1a,1,0,1000000,0.0003,0.95,128,0.001,10000,0.8,0.05,200000,7,1000000,120.03636526740262,0.5658072938595197,1.0,1.0,2026-05-26T15:56:00
1a,4,0,500000,0.0003,0.99,32,0.05,10000,0.5,0.05,100000,3,500000,137.43786069292435,0.6478315455426639,0.6923076923076923,0.92578125,2026-05-26T16:00:36
1a,5,0,500000,0.0006,0.99,32,0.05,5000,1.0,0.05,100000,3,500000,124.26954588195163,0.5857609509250339,0.9230769230769231,0.8566666666666667,2026-05-26T16:01:16
1a,7,0,500000,0.0006,0.95,256,0.001,5000,1.0,0.05,100000,5,500000,112.21295417587437,0.528930610292942,0.9230769230769231,1.0,2026-05-26T16:44:58
1a,6,0,1000000,0.0001,0.99,128,0.001,5000,0.5,0.05,200000,7,1000000,129.65005141541636,0.6111226758381805,0.9230769230769231,0.9117320261437909,2026-05-26T16:53:19
1a,8,0,500000,0.0003,0.99,256,0.005,5000,1.0,0.05,100000,3,500000,155.82049876936856,0.7344805429599189,0.9230769230769231,0.9681589834515367,2026-05-26T17:00:19
1a,9,0,1000000,0.001,0.99,128,0.005,5000,1.0,0.05,100000,5,1000000,124.01406013798122,0.5845566850586561,0.5384615384615384,0.894873271889401,2026-05-26T17:29:54
