problem,trial,seed,search_steps,lr,gamma,batch_size,tau,buffer_size,epsilon_start,epsilon_final,epsilon_decay,weight_batch,total_steps,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
3b,0,0,1000000,0.001,0.99,32,0.01,20000,0.8,0.05,200000,5,1000000,59.957498300187915,0.09264692859980041,0.2774725274725275,0.6398512188980954,2026-05-27T06:05:56
3b,2,0,500000,0.0001,0.95,32,0.01,5000,1.0,0.05,200000,5,500000,0.0318357659517276,4.919294531407125e-05,0.7505494505494505,0.7572240734882304,2026-05-27T06:15:47
3b,3,0,500000,0.0003,0.95,128,0.05,20000,1.0,0.05,100000,7,500000,3.0064698415027915,0.004645627396736955,0.6857142857142857,0.8690396619110303,2026-05-27T06:28:59
3b,4,0,500000,0.0003,0.99,32,0.05,10000,0.5,0.05,100000,3,500000,0.10001488674508326,0.0001545440075701059,0.2291208791208791,0.672732584513419,2026-05-27T06:44:20
3b,1,0,1000000,0.0003,0.95,128,0.001,10000,0.8,0.05,200000,7,1000000,9.974867729580541,0.01541326580552153,0.515934065934066,0.887810668680489,2026-05-27T06:51:42
3b,5,0,500000,0.0006,0.99,32,0.05,5000,1.0,0.05,100000,3,500000,0.49775052426074606,0.0007691291096038614,0.15824175824175823,0.6336416055577448,2026-05-27T06:52:33
3b,7,0,500000,0.0006,0.95,256,0.001,5000,1.0,0.05,100000,5,500000,68.48305892237109,0.10582071050581096,0.6192307692307693,0.8574554545403416,2026-05-27T07:33:39
3b,6,0,1000000,0.0001,0.99,128,0.001,5000,0.5,0.05,200000,7,1000000,13.334863044522397,0.02060516431470443,0.48131868131868133,0.8577276713436435,2026-05-27T07:46:38
3b,8,0,500000,0.0003,0.99,256,0.005,5000,1.0,0.05,100000,3,500000,0.1266892159676683,0.00019576144900769604,0.36043956043956044,0.8238318851440607,2026-05-27T07:48:54
3b,9,0,1000000,0.001,0.99,128,0.005,5000,1.0,0.05,100000,5,1000000,0.10744485695993469,0.00016602487217435555,0.1978021978021978,0.8400837183580424,2026-05-27T08:22:21
