problem,trial,seed,search_steps,lr,gamma,batch_size,tau,buffer_size,epsilon_start,epsilon_final,epsilon_decay,weight_batch,total_steps,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
5a,0,0,1000000,0.001,0.99,32,0.01,20000,0.8,0.05,200000,5,1000000,1334.5018521725556,0.3320983571070879,0.2967032967032967,0.5943771172336709,2026-05-27T12:29:11
5a,2,0,500000,0.0001,0.95,32,0.01,5000,1.0,0.05,200000,5,500000,1445.8478387997866,0.359807437592193,0.5274725274725275,0.8770193223663579,2026-05-27T12:42:08
5a,3,0,500000,0.0003,0.95,128,0.05,20000,1.0,0.05,100000,7,500000,1126.5529212759197,0.2803490858711432,0.5824175824175825,0.766759830889653,2026-05-27T12:51:12
5a,4,0,500000,0.0003,0.99,32,0.05,10000,0.5,0.05,100000,3,500000,1131.095658713285,0.28147957185530414,0.5164835164835165,0.8166066003172844,2026-05-27T13:07:29
5a,1,0,1000000,0.0003,0.95,128,0.001,10000,0.8,0.05,200000,7,1000000,2206.724182427574,0.5491558324775702,0.6703296703296703,0.7391193639906071,2026-05-27T13:18:23
5a,5,0,500000,0.0006,0.99,32,0.05,5000,1.0,0.05,100000,3,500000,1185.265229434755,0.2949599768562485,0.27472527472527475,0.8420769012548838,2026-05-27T13:19:12
5a,7,0,500000,0.0006,0.95,256,0.001,5000,1.0,0.05,100000,5,500000,1907.978786762947,0.47481134585732904,0.5714285714285714,0.5846355739245811,2026-05-27T13:55:47
5a,8,0,500000,0.0003,0.99,256,0.005,5000,1.0,0.05,100000,3,500000,2367.2644072927537,0.5891071782479279,0.32967032967032966,0.5612465745166678,2026-05-27T14:12:08
5a,6,0,1000000,0.0001,0.99,128,0.001,5000,0.5,0.05,200000,7,1000000,1466.9503203797526,0.36505890985667894,0.3956043956043956,0.6643920634334286,2026-05-27T14:13:35
5a,9,0,1000000,0.001,0.99,128,0.005,5000,1.0,0.05,100000,5,1000000,1285.1107711855368,0.3198071063869569,0.27472527472527475,0.603171748145803,2026-05-27T14:48:53
