problem,trial,seed,scalarization,lr,gamma,batch_size,tau,buffer_size,epsilon_start,epsilon_decay,hidden_size,total_steps,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
4a,2,0,linear,0.0001,0.95,32,0.01,10000,1.0,200000,256,500000,26.686132290109747,0.6545132277721643,0.09010989010989011,0.9480959845593406,2026-06-18T10:24:10
4a,1,0,linear,0.0003,0.95,128,0.001,50000,0.8,200000,256,500000,25.0967149754163,0.6155306339062663,0.160989010989011,0.8541108437900501,2026-06-18T10:44:47
4a,4,0,linear,0.0003,0.99,32,0.05,50000,0.5,100000,128,500000,19.871748430898506,0.48738131346984837,0.03296703296703297,0.9838888888888888,2026-06-18T11:01:10
4a,0,0,linear,0.001,0.99,32,0.01,100000,0.8,200000,256,1000000,22.643003283794936,0.5553500598970234,0.26153846153846155,0.9889880952380952,2026-06-18T11:14:59
4a,5,0,linear,0.0006,0.99,32,0.05,10000,1.0,100000,128,500000,21.55949989735962,0.5287756844480687,0.19725274725274725,0.9300293244064837,2026-06-18T11:15:43
4a,3,0,linear,0.0003,0.95,128,0.05,100000,1.0,100000,128,1000000,36.15222758180288,0.8866819255965832,0.16538461538461538,0.8235486034206966,2026-06-18T11:58:52
4a,8,0,linear,0.0003,0.99,256,0.005,10000,1.0,100000,128,500000,19.45295364723576,0.4771098090551439,0.07912087912087912,0.788007570907265,2026-06-18T12:21:07
4a,7,0,linear,0.0006,0.95,256,0.001,10000,1.0,100000,256,500000,27.930771281556964,0.685039670302209,0.07087912087912088,0.9036703343585256,2026-06-18T12:40:10
4a,6,0,linear,0.0001,0.99,128,0.001,10000,0.5,200000,256,1000000,35.72576643161602,0.8762223932487023,0.15934065934065933,0.7052534646369781,2026-06-18T13:04:45
4a,9,0,linear,0.001,0.99,128,0.005,10000,1.0,100000,256,1000000,36.00703118258458,0.8831207889402801,0.05,0.9048607379769524,2026-06-18T13:35:30
