problem,trial,seed,scalarization,lr,gamma,batch_size,tau,buffer_size,epsilon_start,epsilon_decay,hidden_size,total_steps,smoothness,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
3b,2,0,smooth_tchebycheff,0.0001,0.95,32,0.01,10000,1.0,200000,256,500000,0.001,117.67644538944008,0.18183482412156793,0.11703296703296703,0.9047230814908187,2026-06-22T10:17:16
3b,0,0,smooth_tchebycheff,0.001,0.99,32,0.01,100000,0.8,200000,256,1000000,0.05,104.58562694104471,0.16160676010847058,0.2456043956043956,0.6449478631775521,2026-06-22T10:23:16
3b,4,0,smooth_tchebycheff,0.0003,0.99,32,0.05,50000,0.5,100000,128,500000,0.1,6.3725854524147785,0.009846982980363605,0.038461538461538464,0.7342753485308089,2026-06-22T10:31:03
3b,1,0,smooth_tchebycheff,0.0003,0.95,128,0.001,50000,0.8,200000,256,500000,0.001,185.91820615679967,0.2872826775625291,0.1620879120879121,0.8641885125522114,2026-06-22T10:33:56
3b,5,0,smooth_tchebycheff,0.0006,0.99,32,0.05,10000,1.0,100000,128,500000,0.05,23.58700842505104,0.03644688207847561,0.12307692307692308,0.8397431827526229,2026-06-22T10:52:13
3b,3,0,smooth_tchebycheff,0.0003,0.95,128,0.05,100000,1.0,100000,128,1000000,0.05,187.4176650027851,0.2895996564161558,0.23461538461538461,0.9450828041869427,2026-06-22T11:46:27
3b,8,0,smooth_tchebycheff,0.0003,0.99,256,0.005,10000,1.0,100000,128,500000,0.01,70.82105424338774,0.10943340359944319,0.07747252747252747,0.8559438897136507,2026-06-22T11:55:07
3b,7,0,smooth_tchebycheff,0.0006,0.95,256,0.001,10000,1.0,100000,256,500000,0.01,111.70552640937954,0.1726085002044039,0.03076923076923077,0.6906244423629566,2026-06-22T12:34:52
3b,6,0,smooth_tchebycheff,0.0001,0.99,128,0.001,10000,0.5,200000,256,1000000,0.001,140.62389186462323,0.21729344865806727,0.18296703296703296,0.9255254540682231,2026-06-22T13:04:51
3b,11,0,smooth_tchebycheff,0.001,0.99,256,0.005,10000,1.0,200000,128,500000,0.1,233.8035174030383,0.36127554095715797,0.12912087912087913,0.7092591296210157,2026-06-22T13:14:22
3b,9,0,smooth_tchebycheff,0.001,0.99,128,0.005,10000,1.0,100000,256,1000000,0.001,204.33362842112894,0.31573837281638323,0.08296703296703296,0.8166114664924702,2026-06-22T13:34:02
3b,10,0,smooth_tchebycheff,0.0001,0.99,256,0.001,10000,0.8,200000,256,500000,0.001,216.1952657367751,0.3340670938101761,0.08791208791208792,0.6604415009928569,2026-06-22T13:52:18
3b,13,0,smooth_tchebycheff,0.0006,0.99,64,0.005,100000,0.5,100000,128,500000,0.001,189.51910119317233,0.2928468167022877,0.12087912087912088,0.9336765891043493,2026-06-22T13:52:41
3b,15,0,smooth_tchebycheff,0.0003,0.95,32,0.005,10000,0.5,100000,128,1000000,0.01,171.60813485026304,0.2651706117996667,0.2357142857142857,0.9568714355434438,2026-06-22T14:43:08
3b,17,0,smooth_tchebycheff,0.001,0.99,128,0.01,10000,1.0,200000,128,500000,0.01,116.15790237398382,0.17948835621779402,0.07967032967032966,0.8201863867788629,2026-06-22T14:46:10
3b,12,0,smooth_tchebycheff,0.001,0.99,128,0.005,50000,0.5,200000,256,1000000,0.1,48.330837751772336,0.07468129542116665,0.17582417582417584,0.6214256403360032,2026-06-22T15:27:39
3b,14,0,smooth_tchebycheff,0.0001,0.95,128,0.01,50000,1.0,100000,256,1000000,0.1,155.72406154681272,0.24062638235843506,0.21318681318681318,0.9205467663983987,2026-06-22T16:02:16
3b,19,0,smooth_tchebycheff,0.0001,0.95,64,0.05,50000,1.0,200000,128,1000000,0.001,179.46178295998664,0.2773061476583359,0.1967032967032967,0.9447410138949539,2026-06-22T16:11:03
3b,18,0,smooth_tchebycheff,0.0003,0.95,256,0.01,10000,0.5,200000,256,500000,0.1,33.84787490420017,0.05230207591439006,0.1357142857142857,0.6735620247564956,2026-06-22T16:45:53
3b,16,0,smooth_tchebycheff,0.0006,0.99,256,0.01,50000,0.5,200000,128,1000000,0.05,42.628790399089596,0.0658704346403484,0.08516483516483517,0.8894816567299576,2026-06-22T16:54:31
