problem,trial,seed,scalarization,lr,gamma,batch_size,tau,buffer_size,epsilon_start,epsilon_decay,hidden_size,total_steps,smoothness,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
2c,0,0,smooth_tchebycheff,0.001,0.99,32,0.01,100000,0.8,200000,256,1000000,0.05,182.09646273593776,0.5506311476477023,0.6923076923076923,0.9804764916719375,2026-06-21T20:27:19
2c,2,0,smooth_tchebycheff,0.0001,0.95,32,0.01,10000,1.0,200000,256,500000,0.001,27.358945000325228,0.08272915935662678,0.7692307692307693,1.0,2026-06-21T20:35:45
2c,1,0,smooth_tchebycheff,0.0003,0.95,128,0.001,50000,0.8,200000,256,500000,0.001,224.85297104569307,0.6799201238654853,0.46153846153846156,0.9667504751346214,2026-06-21T20:40:34
2c,4,0,smooth_tchebycheff,0.0003,0.99,32,0.05,50000,0.5,100000,128,500000,0.1,18.08808791024339,0.05469554133631291,0.6923076923076923,1.0,2026-06-21T20:55:46
2c,5,0,smooth_tchebycheff,0.0006,0.99,32,0.05,10000,1.0,100000,128,500000,0.05,20.517969292575454,0.06204312159184762,0.6153846153846154,0.8588853276353277,2026-06-21T21:03:40
2c,3,0,smooth_tchebycheff,0.0003,0.95,128,0.05,100000,1.0,100000,128,1000000,0.05,273.7873933305907,0.8278901431474291,0.46153846153846156,0.9380851691581432,2026-06-21T22:14:43
2c,8,0,smooth_tchebycheff,0.0003,0.99,256,0.005,10000,1.0,100000,128,500000,0.01,78.01140592714606,0.23589425807554515,0.6153846153846154,0.8146341463414636,2026-06-21T22:20:37
2c,7,0,smooth_tchebycheff,0.0006,0.95,256,0.001,10000,1.0,100000,256,500000,0.01,133.1105276147185,0.40250536162676637,0.3076923076923077,0.8899990295031055,2026-06-21T22:36:39
2c,6,0,smooth_tchebycheff,0.0001,0.99,128,0.001,10000,0.5,200000,256,1000000,0.001,192.9599282449978,0.5834805637802893,0.46153846153846156,0.9631593528368795,2026-06-21T23:13:51
2c,9,0,smooth_tchebycheff,0.001,0.99,128,0.005,10000,1.0,100000,256,1000000,0.001,203.0443951722366,0.6139744103610055,0.38461538461538464,0.7458603158373098,2026-06-21T23:43:22
2c,11,0,smooth_tchebycheff,0.001,0.99,256,0.005,10000,1.0,200000,128,500000,0.1,35.251918078319214,0.10659627219884958,0.3076923076923077,0.7465290806754222,2026-06-21T23:43:39
2c,13,0,smooth_tchebycheff,0.0006,0.99,64,0.005,100000,0.5,100000,128,500000,0.001,34.04133690889859,0.10293566458119693,0.6923076923076923,0.9223581757508341,2026-06-22T00:01:59
2c,10,0,smooth_tchebycheff,0.0001,0.99,256,0.001,10000,0.8,200000,256,500000,0.001,63.17009567510185,0.19101646323046217,0.3076923076923077,0.7750173631207318,2026-06-22T00:13:04
2c,15,0,smooth_tchebycheff,0.0003,0.95,32,0.005,10000,0.5,100000,128,1000000,0.01,102.1012099247599,0.30873804769407065,0.5384615384615384,0.8320552147239264,2026-06-22T00:51:07
2c,17,0,smooth_tchebycheff,0.001,0.99,128,0.01,10000,1.0,200000,128,500000,0.01,80.73592019112421,0.2441327619619842,0.6923076923076923,0.9461624026696327,2026-06-22T01:08:37
2c,12,0,smooth_tchebycheff,0.001,0.99,128,0.005,50000,0.5,200000,256,1000000,0.1,174.2638272039057,0.5269464860825668,0.6923076923076923,0.8802083333333333,2026-06-22T01:25:06
2c,14,0,smooth_tchebycheff,0.0001,0.95,128,0.01,50000,1.0,100000,256,1000000,0.1,253.84508151800262,0.767587719502675,0.5384615384615384,0.9532911194496562,2026-06-22T02:28:46
2c,19,0,smooth_tchebycheff,0.0001,0.95,64,0.05,50000,1.0,200000,128,1000000,0.001,97.6703133497688,0.29533971128742875,0.7692307692307693,0.9449635730123533,2026-06-22T02:39:22
2c,18,0,smooth_tchebycheff,0.0003,0.95,256,0.01,10000,0.5,200000,256,500000,0.1,56.69606910986444,0.17144002212908951,0.3076923076923077,0.822597293761753,2026-06-22T02:49:43
2c,16,0,smooth_tchebycheff,0.0006,0.99,256,0.01,50000,0.5,200000,128,1000000,0.05,59.238313494788414,0.179127370484129,0.23076923076923078,0.7142287309818224,2026-06-22T02:57:44
