problem,trial,seed,scalarization,lr,gamma,batch_size,tau,buffer_size,epsilon_start,epsilon_decay,hidden_size,total_steps,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
5b,2,0,linear,0.0001,0.95,32,0.01,10000,1.0,200000,256,500000,2388.401401865613,0.9535775056315319,0.7362637362637363,0.9835873694207027,2026-06-18T19:19:19
5b,1,0,linear,0.0003,0.95,128,0.001,50000,0.8,200000,256,500000,2457.8389851450365,0.9813007004885411,0.8461538461538461,0.896425429409764,2026-06-18T19:31:06
5b,0,0,linear,0.001,0.99,32,0.01,100000,0.8,200000,256,1000000,2343.4327176752054,0.93562360321449,0.2857142857142857,0.813838564235942,2026-06-18T19:37:41
5b,4,0,linear,0.0003,0.99,32,0.05,50000,0.5,100000,128,500000,2331.160504561053,0.9307238797589474,0.2857142857142857,0.7995530676658126,2026-06-18T19:57:35
5b,5,0,linear,0.0006,0.99,32,0.05,10000,1.0,100000,128,500000,2194.5459463955826,0.8761800457507168,0.14285714285714285,0.9116390927891488,2026-06-18T19:57:59
5b,3,0,linear,0.0003,0.95,128,0.05,100000,1.0,100000,128,1000000,2411.8602100487833,0.9629435157900097,0.7582417582417582,0.833027493528509,2026-06-18T20:55:56
5b,8,0,linear,0.0003,0.99,256,0.005,10000,1.0,100000,128,500000,2415.052442507499,0.964218025620309,0.5274725274725275,0.9087604849351758,2026-06-18T21:08:37
5b,7,0,linear,0.0006,0.95,256,0.001,10000,1.0,100000,256,500000,2436.9556506789427,0.9729629571034084,0.6813186813186813,0.9387389852284457,2026-06-18T21:16:57
5b,6,0,linear,0.0001,0.99,128,0.001,10000,0.5,200000,256,1000000,2441.6261846531584,0.9748276839175951,0.6813186813186813,0.8778796128635921,2026-06-18T22:00:31
5b,9,0,linear,0.001,0.99,128,0.005,10000,1.0,100000,256,1000000,2413.9433344923495,0.963775210416074,0.2967032967032967,0.8640770950163421,2026-06-18T22:17:01
