problem,trial,seed,scalarization,lr,gamma,batch_size,tau,buffer_size,epsilon_start,epsilon_decay,hidden_size,total_steps,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
5a,2,0,linear,0.0001,0.95,32,0.01,10000,1.0,200000,256,500000,1956.5456840850075,0.4868974937964925,0.8241758241758241,0.9480907260531481,2026-06-18T16:20:24
5a,1,0,linear,0.0003,0.95,128,0.001,50000,0.8,200000,256,500000,1963.6655440063273,0.48866931133189234,0.8021978021978022,0.9753978143292268,2026-06-18T16:38:01
5a,0,0,linear,0.001,0.99,32,0.01,100000,0.8,200000,256,1000000,1594.8391693611654,0.39688477549328366,0.46153846153846156,0.9895721577319819,2026-06-18T16:48:20
5a,4,0,linear,0.0003,0.99,32,0.05,50000,0.5,100000,128,500000,1500.7721794493234,0.3734756713718662,0.5494505494505495,0.9855965925382513,2026-06-18T17:00:04
5a,5,0,linear,0.0006,0.99,32,0.05,10000,1.0,100000,128,500000,1719.1781745878616,0.42782724237176056,0.8351648351648352,0.9161304451930993,2026-06-18T17:04:15
5a,3,0,linear,0.0003,0.95,128,0.05,100000,1.0,100000,128,1000000,3046.7584259420355,0.7582031198460227,0.8791208791208791,0.9854989839101679,2026-06-18T17:49:14
5a,8,0,linear,0.0003,0.99,256,0.005,10000,1.0,100000,128,500000,2808.0907940829507,0.6988093255953778,0.6593406593406593,0.7526336890283779,2026-06-18T18:12:04
5a,7,0,linear,0.0006,0.95,256,0.001,10000,1.0,100000,256,500000,3010.7678994492117,0.7492466731387907,0.7692307692307693,0.9108815607576367,2026-06-18T18:29:26
5a,6,0,linear,0.0001,0.99,128,0.001,10000,0.5,200000,256,1000000,2881.8279654729954,0.7171592390379792,0.6483516483516484,0.9181338765914526,2026-06-18T19:01:23
5a,9,0,linear,0.001,0.99,128,0.005,10000,1.0,100000,256,1000000,1967.3403159621744,0.48958379918164185,0.7582417582417582,0.9418522411518091,2026-06-18T19:23:15
