problem,trial,seed,scalarization,lr,gamma,batch_size,tau,buffer_size,epsilon_start,epsilon_decay,hidden_size,total_steps,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
1b,1,0,linear,0.0003,0.95,128,0.001,50000,0.8,200000,256,500000,43.92445497164585,0.545933643472979,0.8461538461538461,0.9858156028368794,2026-06-17T15:08:48
1b,2,0,linear,0.0001,0.95,32,0.01,10000,1.0,200000,256,500000,25.614776155583158,0.31836406581229615,0.6923076923076923,0.875,2026-06-17T15:12:19
1b,4,0,linear,0.0003,0.99,32,0.05,50000,0.5,100000,128,500000,47.123042461559855,0.5856886392597921,1.0,0.9342948717948719,2026-06-17T15:34:59
1b,5,0,linear,0.0006,0.99,32,0.05,10000,1.0,100000,128,500000,27.054492539021275,0.33625818905834404,1.0,1.0,2026-06-17T15:35:14
1b,0,0,linear,0.001,0.99,32,0.01,100000,0.8,200000,256,1000000,19.756200075660626,0.24554827818464364,1.0,1.0,2026-06-17T15:35:40
1b,8,0,linear,0.0003,0.99,256,0.005,10000,1.0,100000,128,500000,48.70213232738912,0.6053150247068038,0.6923076923076923,0.8945312500000002,2026-06-17T16:28:51
1b,3,0,linear,0.0003,0.95,128,0.05,100000,1.0,100000,128,1000000,43.92445497164585,0.545933643472979,1.0,1.0,2026-06-17T16:30:40
1b,7,0,linear,0.0006,0.95,256,0.001,10000,1.0,100000,256,500000,43.92445497164585,0.545933643472979,1.0,1.0,2026-06-17T16:50:42
1b,6,0,linear,0.0001,0.99,128,0.001,10000,0.5,200000,256,1000000,46.281664186230834,0.5752312139443068,0.9230769230769231,0.9716312056737589,2026-06-17T17:00:55
1b,9,0,linear,0.001,0.99,128,0.005,10000,1.0,100000,256,1000000,22.87148974378964,0.2842679718061869,1.0,1.0,2026-06-17T17:24:24
