problem,trial,seed,scalarization,lr,gamma,batch_size,tau,buffer_size,epsilon_start,epsilon_decay,hidden_size,total_steps,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
5c,2,0,linear,0.0001,0.95,32,0.01,10000,1.0,200000,256,500000,24072.762259543222,0.3882127385736988,0.8021978021978022,0.9761738087917724,2026-06-18T22:03:24
5c,1,0,linear,0.0003,0.95,128,0.001,50000,0.8,200000,256,500000,31390.119554019922,0.5062171156278895,0.7362637362637363,0.8656105308303472,2026-06-18T22:27:09
5c,4,0,linear,0.0003,0.99,32,0.05,50000,0.5,100000,128,500000,60908.901295660566,0.9822558425396161,0.9340659340659341,0.8498314916424978,2026-06-18T22:42:04
5c,0,0,linear,0.001,0.99,32,0.01,100000,0.8,200000,256,1000000,31338.928768950795,0.5053915803342177,0.7472527472527473,0.9523501145695576,2026-06-18T22:47:58
5c,5,0,linear,0.0006,0.99,32,0.05,10000,1.0,100000,128,500000,53991.82301863934,0.8707066205642063,0.978021978021978,1.0,2026-06-18T22:51:17
5c,3,0,linear,0.0003,0.95,128,0.05,100000,1.0,100000,128,1000000,31384.839709280972,0.5061319694795892,0.7912087912087912,0.841753359065328,2026-06-18T23:56:09
5c,8,0,linear,0.0003,0.99,256,0.005,10000,1.0,100000,128,500000,24627.684809865063,0.3971617740285453,0.6153846153846154,0.903156329449859,2026-06-18T23:56:49
5c,7,0,linear,0.0006,0.95,256,0.001,10000,1.0,100000,256,500000,31377.48077621959,0.5060132946251649,0.9340659340659341,0.9269139948532398,2026-06-19T00:21:07
5c,6,0,linear,0.0001,0.99,128,0.001,10000,0.5,200000,256,1000000,24773.951451593468,0.39952056330811175,0.7802197802197802,0.9701721464260804,2026-06-19T00:56:02
5c,9,0,linear,0.001,0.99,128,0.005,10000,1.0,100000,256,1000000,45007.94568539757,0.7258268770206359,0.7582417582417582,0.9274965190560035,2026-06-19T01:08:57
