problem,trial,seed,scalarization,lr,gamma,batch_size,tau,buffer_size,epsilon_start,epsilon_decay,hidden_size,total_steps,smoothness,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
5a,0,0,smooth_tchebycheff,0.001,0.99,32,0.01,100000,0.8,200000,256,1000000,0.05,3507.1376289051473,0.8727710964295057,0.5824175824175825,0.9683699703354418,2026-06-23T07:11:24
5a,2,0,smooth_tchebycheff,0.0001,0.95,32,0.01,10000,1.0,200000,256,500000,0.001,2798.8956183211935,0.6965210539389398,0.5494505494505495,0.9501735087533068,2026-06-23T07:18:02
5a,4,0,smooth_tchebycheff,0.0003,0.99,32,0.05,50000,0.5,100000,128,500000,0.1,2557.0871845974566,0.6363456533251776,0.3076923076923077,0.8154422535814779,2026-06-23T07:21:14
5a,1,0,smooth_tchebycheff,0.0003,0.95,128,0.001,50000,0.8,200000,256,500000,0.001,3341.290017723033,0.8314989774631294,0.4835164835164835,0.9416870424788062,2026-06-23T07:28:46
5a,5,0,smooth_tchebycheff,0.0006,0.99,32,0.05,10000,1.0,100000,128,500000,0.05,3112.1134419538594,0.7744670863672379,0.34065934065934067,0.8187208506377969,2026-06-23T07:46:19
5a,3,0,smooth_tchebycheff,0.0003,0.95,128,0.05,100000,1.0,100000,128,1000000,0.05,3357.0533774368487,0.8354217789601253,0.5934065934065934,0.9543084665054291,2026-06-23T08:47:54
5a,8,0,smooth_tchebycheff,0.0003,0.99,256,0.005,10000,1.0,100000,128,500000,0.01,2755.8571933952276,0.6858106977209089,0.17582417582417584,0.7531297608760724,2026-06-23T08:52:08
5a,7,0,smooth_tchebycheff,0.0006,0.95,256,0.001,10000,1.0,100000,256,500000,0.01,2851.569538793501,0.709629257889923,0.3956043956043956,0.9486871243038105,2026-06-23T09:23:50
5a,6,0,smooth_tchebycheff,0.0001,0.99,128,0.001,10000,0.5,200000,256,1000000,0.001,3524.9434428149234,0.8772021742408737,0.37362637362637363,0.8212844158682048,2026-06-23T10:01:03
5a,11,0,smooth_tchebycheff,0.001,0.99,256,0.005,10000,1.0,200000,128,500000,0.1,2180.1465919929333,0.5425418483119883,0.2857142857142857,0.7446641024023193,2026-06-23T10:14:22
5a,9,0,smooth_tchebycheff,0.001,0.99,128,0.005,10000,1.0,100000,256,1000000,0.001,2512.945910820386,0.6253608469136209,0.32967032967032966,0.8225893209753411,2026-06-23T10:26:56
5a,13,0,smooth_tchebycheff,0.0006,0.99,64,0.005,100000,0.5,100000,128,500000,0.001,3455.1308310323334,0.8598289097222754,0.4945054945054945,0.9594007969820046,2026-06-23T10:51:46
5a,10,0,smooth_tchebycheff,0.0001,0.99,256,0.001,10000,0.8,200000,256,500000,0.001,3283.963742069874,0.8172330085306109,0.6263736263736264,0.9008833146166529,2026-06-23T10:52:29
5a,15,0,smooth_tchebycheff,0.0003,0.95,32,0.005,10000,0.5,100000,128,1000000,0.01,2944.0148680654647,0.7326348025607394,0.5384615384615384,0.9803777479265836,2026-06-23T11:34:33
5a,17,0,smooth_tchebycheff,0.001,0.99,128,0.01,10000,1.0,200000,128,500000,0.01,1936.3197129293546,0.48186414612391154,0.12087912087912088,0.7933936910266192,2026-06-23T11:47:48
5a,12,0,smooth_tchebycheff,0.001,0.99,128,0.005,50000,0.5,200000,256,1000000,0.1,2922.0541022060434,0.7271697413839009,0.4065934065934066,0.7756799424338424,2026-06-23T12:18:07
5a,14,0,smooth_tchebycheff,0.0001,0.95,128,0.01,50000,1.0,100000,256,1000000,0.1,3594.7395501947713,0.894571331545213,0.6263736263736264,0.9560621407358342,2026-06-23T12:59:33
5a,19,0,smooth_tchebycheff,0.0001,0.95,64,0.05,50000,1.0,200000,128,1000000,0.001,3539.621055921065,0.8808547815346496,0.6703296703296703,0.9686819180737741,2026-06-23T13:16:05
5a,18,0,smooth_tchebycheff,0.0003,0.95,256,0.01,10000,0.5,200000,256,500000,0.1,2930.1883984167766,0.7291940071452478,0.34065934065934067,0.8132179499170659,2026-06-23T13:31:09
5a,16,0,smooth_tchebycheff,0.0006,0.99,256,0.01,50000,0.5,200000,128,1000000,0.05,3002.4034872481675,0.7471651417077095,0.34065934065934067,0.8084022693255836,2026-06-23T13:51:38
