problem,trial,seed,scalarization,lr,gamma,batch_size,tau,buffer_size,epsilon_start,epsilon_decay,hidden_size,total_steps,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
2c,2,0,linear,0.0001,0.95,32,0.01,10000,1.0,200000,256,500000,111.26796904116026,0.3364568897662149,0.7692307692307693,1.0,2026-06-18T01:21:53
2c,1,0,linear,0.0003,0.95,128,0.001,50000,0.8,200000,256,500000,107.17034222635723,0.32406630885230187,0.9230769230769231,1.0,2026-06-18T01:38:12
2c,0,0,linear,0.001,0.99,32,0.01,100000,0.8,200000,256,1000000,45.874435552050336,0.1387170992571447,0.6923076923076923,0.9379844961240311,2026-06-18T01:55:21
2c,4,0,linear,0.0003,0.99,32,0.05,50000,0.5,100000,128,500000,28.772017793085187,0.08700206988930129,0.6923076923076923,0.9723496432212027,2026-06-18T01:59:23
2c,5,0,linear,0.0006,0.99,32,0.05,10000,1.0,100000,128,500000,120.15176547943018,0.3633200970728099,0.8461538461538461,0.9884615384615385,2026-06-18T02:11:52
2c,3,0,linear,0.0003,0.95,128,0.05,100000,1.0,100000,128,1000000,230.21600705078663,0.6961371037342426,0.9230769230769231,0.8877314814814815,2026-06-18T03:06:42
2c,8,0,linear,0.0003,0.99,256,0.005,10000,1.0,100000,128,500000,25.79055638097237,0.07798659812036493,0.46153846153846156,0.8969155844155843,2026-06-18T03:08:12
2c,7,0,linear,0.0006,0.95,256,0.001,10000,1.0,100000,256,500000,102.5732808947387,0.3101655162789356,0.9230769230769231,0.9966887417218542,2026-06-18T03:35:17
2c,6,0,linear,0.0001,0.99,128,0.001,10000,0.5,200000,256,1000000,88.32249418013895,0.2670733720074585,0.6153846153846154,1.0,2026-06-18T03:56:37
2c,9,0,linear,0.001,0.99,128,0.005,10000,1.0,100000,256,1000000,200.54232189028937,0.6064085331218901,1.0,0.9023740310077519,2026-06-18T04:28:01
