problem,trial,seed,scalarization,lr,gamma,batch_size,tau,buffer_size,epsilon_start,epsilon_decay,hidden_size,total_steps,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
3b,2,0,linear,0.0001,0.95,32,0.01,10000,1.0,200000,256,500000,27.916797425389174,0.043137315484706236,0.6351648351648351,0.8479306593064357,2026-06-18T07:22:20
3b,1,0,linear,0.0003,0.95,128,0.001,50000,0.8,200000,256,500000,28.064282047844404,0.04336521020311,0.7076923076923077,0.8470532212885153,2026-06-18T07:23:38
3b,0,0,linear,0.001,0.99,32,0.01,100000,0.8,200000,256,1000000,54.60868706642051,0.0843818911709189,0.5049450549450549,0.6775525608851514,2026-06-18T07:30:05
3b,5,0,linear,0.0006,0.99,32,0.05,10000,1.0,100000,128,500000,33.479491567617245,0.05173284628653045,0.27692307692307694,0.7709456541633408,2026-06-18T08:22:31
3b,4,0,linear,0.0003,0.99,32,0.05,50000,0.5,100000,128,500000,4.883771770418056,0.007546453140940435,0.4230769230769231,0.7260150387815617,2026-06-18T08:25:52
3b,8,0,linear,0.0003,0.99,256,0.005,10000,1.0,100000,128,500000,29.55599472340432,0.04567021959647405,0.45604395604395603,0.7524635721999385,2026-06-18T09:27:32
3b,7,0,linear,0.0006,0.95,256,0.001,10000,1.0,100000,256,500000,12.771236369700771,0.019734242578573872,0.510989010989011,0.5822772681891667,2026-06-18T09:28:22
3b,3,0,linear,0.0003,0.95,128,0.05,100000,1.0,100000,128,1000000,8.352613278441252,0.01290654184373528,0.7060439560439561,0.8211142913430148,2026-06-18T09:38:39
3b,6,0,linear,0.0001,0.99,128,0.001,10000,0.5,200000,256,1000000,18.610544985778372,0.0287572008407998,0.6296703296703297,0.8552111352484333,2026-06-18T10:05:16
3b,9,0,linear,0.001,0.99,128,0.005,10000,1.0,100000,256,1000000,83.0084738203129,0.12826552661209842,0.5472527472527473,0.6143742003554641,2026-06-18T10:40:56
