problem,trial,seed,scalarization,lr,gamma,batch_size,tau,buffer_size,epsilon_start,epsilon_decay,hidden_size,total_steps,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
3a,2,0,linear,0.0001,0.95,32,0.01,10000,1.0,200000,256,500000,21876.616841584062,0.4594580248664915,0.08186813186813187,0.9039341487065758,2026-06-18T04:23:06
3a,1,0,linear,0.0003,0.95,128,0.001,50000,0.8,200000,256,500000,29941.014240802764,0.6288284594092032,0.4115384615384615,0.8689832913667657,2026-06-18T04:23:54
3a,0,0,linear,0.001,0.99,32,0.01,100000,0.8,200000,256,1000000,19926.269115007697,0.4184963478053348,0.04450549450549451,0.8504875125583581,2026-06-18T04:55:43
3a,5,0,linear,0.0006,0.99,32,0.05,10000,1.0,100000,128,500000,12964.751742205162,0.27228886767514765,0.03956043956043956,0.8765511256694579,2026-06-18T04:58:45
3a,4,0,linear,0.0003,0.99,32,0.05,50000,0.5,100000,128,500000,24088.38497337568,0.5059101168263397,0.10274725274725274,0.8404088086644083,2026-06-18T05:02:15
3a,3,0,linear,0.0003,0.95,128,0.05,100000,1.0,100000,128,1000000,27096.294808846345,0.5690829703799505,0.37967032967032965,0.7600056061839663,2026-06-18T05:45:58
3a,8,0,linear,0.0003,0.99,256,0.005,10000,1.0,100000,128,500000,21782.097769200118,0.45747291233176035,0.1357142857142857,0.8749375778082592,2026-06-18T06:08:32
3a,7,0,linear,0.0006,0.95,256,0.001,10000,1.0,100000,256,500000,20683.989658659135,0.4344101788564456,0.22472527472527473,0.9036695101750716,2026-06-18T06:36:28
3a,6,0,linear,0.0001,0.99,128,0.001,10000,0.5,200000,256,1000000,20710.30795708178,0.43496292215760035,0.3956043956043956,0.7299477023130194,2026-06-18T06:47:01
3a,9,0,linear,0.001,0.99,128,0.005,10000,1.0,100000,256,1000000,20425.36044750203,0.4289783852938712,0.2434065934065934,0.7326572027700387,2026-06-18T07:24:50
