problem,trial,seed,scalarization,lr,gamma,batch_size,tau,buffer_size,epsilon_start,epsilon_decay,hidden_size,total_steps,smoothness,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
5b,2,0,smooth_tchebycheff,0.0001,0.95,32,0.01,10000,1.0,200000,256,500000,0.001,2442.763808515308,0.9752818841721955,0.21978021978021978,0.939117831070098,2026-06-23T14:02:18
5b,0,0,smooth_tchebycheff,0.001,0.99,32,0.01,100000,0.8,200000,256,1000000,0.05,2491.829464805477,0.9948715168448304,0.4725274725274725,0.9734206646482338,2026-06-23T14:13:03
5b,1,0,smooth_tchebycheff,0.0003,0.95,128,0.001,50000,0.8,200000,256,500000,0.001,2468.6757005413233,0.9856272965241816,0.24175824175824176,0.8405191592800165,2026-06-23T14:22:22
5b,4,0,smooth_tchebycheff,0.0003,0.99,32,0.05,50000,0.5,100000,128,500000,0.1,2393.5256427269005,0.9556233764868014,0.42857142857142855,0.9739286530781244,2026-06-23T14:31:53
5b,5,0,smooth_tchebycheff,0.0006,0.99,32,0.05,10000,1.0,100000,128,500000,0.05,2425.5246878462895,0.968399105727164,0.4065934065934066,0.9453630389127213,2026-06-23T14:36:46
5b,3,0,smooth_tchebycheff,0.0003,0.95,128,0.05,100000,1.0,100000,128,1000000,0.05,2462.5681751186407,0.983188845912993,0.3076923076923077,0.9288512893275235,2026-06-23T15:38:08
5b,8,0,smooth_tchebycheff,0.0003,0.99,256,0.005,10000,1.0,100000,128,500000,0.01,2337.2739682567126,0.9331647012461238,0.38461538461538464,0.7188141647167422,2026-06-23T15:55:43
5b,7,0,smooth_tchebycheff,0.0006,0.95,256,0.001,10000,1.0,100000,256,500000,0.01,1235.5963097401925,0.4933160925501222,0.27472527472527475,0.8926878126233917,2026-06-23T16:25:26
5b,6,0,smooth_tchebycheff,0.0001,0.99,128,0.001,10000,0.5,200000,256,1000000,0.001,2399.2784409103683,0.9579202010230404,0.27472527472527475,0.7600914517928342,2026-06-23T16:53:57
5b,9,0,smooth_tchebycheff,0.001,0.99,128,0.005,10000,1.0,100000,256,1000000,0.001,2401.5047401454813,0.9588090586789396,0.38461538461538464,0.7742218546128827,2026-06-23T17:15:21
5b,11,0,smooth_tchebycheff,0.001,0.99,256,0.005,10000,1.0,200000,128,500000,0.1,194.88971436511153,0.07781039131544668,0.18681318681318682,0.5648201242846133,2026-06-23T17:18:17
5b,13,0,smooth_tchebycheff,0.0006,0.99,64,0.005,100000,0.5,100000,128,500000,0.001,2470.9859256137483,0.9865496618603808,0.5054945054945055,0.853010354961339,2026-06-23T17:43:04
5b,10,0,smooth_tchebycheff,0.0001,0.99,256,0.001,10000,0.8,200000,256,500000,0.001,2371.517351535611,0.9468364902452302,0.12087912087912088,0.9379344493539858,2026-06-23T17:43:06
5b,15,0,smooth_tchebycheff,0.0003,0.95,32,0.005,10000,0.5,100000,128,1000000,0.01,2412.5328672707783,0.9632120765082349,0.37362637362637363,0.9672474739775686,2026-06-23T18:29:31
5b,17,0,smooth_tchebycheff,0.001,0.99,128,0.01,10000,1.0,200000,128,500000,0.01,2359.037157509383,0.9418537296924889,0.23076923076923078,0.8732867911581826,2026-06-23T18:40:07
5b,12,0,smooth_tchebycheff,0.001,0.99,128,0.005,50000,0.5,200000,256,1000000,0.1,2466.9684612043147,0.9849456753246508,0.18681318681318682,0.912219330083555,2026-06-23T19:21:00
5b,14,0,smooth_tchebycheff,0.0001,0.95,128,0.01,50000,1.0,100000,256,1000000,0.1,2446.4398313923084,0.9767495489972775,0.4065934065934066,0.8578969602586838,2026-06-23T19:57:46
5b,19,0,smooth_tchebycheff,0.0001,0.95,64,0.05,50000,1.0,200000,128,1000000,0.001,2462.7822801950642,0.9832743281039512,0.5494505494505495,0.8774256902865254,2026-06-23T20:12:32
5b,18,0,smooth_tchebycheff,0.0003,0.95,256,0.01,10000,0.5,200000,256,500000,0.1,1572.617124575277,0.6278728164346902,0.24175824175824176,0.8426417721271399,2026-06-23T20:32:24
5b,16,0,smooth_tchebycheff,0.0006,0.99,256,0.01,50000,0.5,200000,128,1000000,0.05,2460.21196419218,0.9822481205658042,0.34065934065934067,0.8947068000862103,2026-06-23T20:36:38
