problem,trial,seed,scalarization,lr,gamma,batch_size,tau,buffer_size,epsilon_start,epsilon_decay,hidden_size,total_steps,smoothness,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
3a,0,0,smooth_tchebycheff,0.001,0.99,32,0.01,100000,0.8,200000,256,1000000,0.05,24829.87154830406,0.5214829981200336,0.1576923076923077,0.7725904753776426,2026-06-22T03:16:00
3a,2,0,smooth_tchebycheff,0.0001,0.95,32,0.01,10000,1.0,200000,256,500000,0.001,35023.98373104043,0.7355822202558977,0.17142857142857143,0.8478272351672524,2026-06-22T03:26:32
3a,4,0,smooth_tchebycheff,0.0003,0.99,32,0.05,50000,0.5,100000,128,500000,0.1,27407.268050887447,0.5756141060033959,0.24505494505494504,0.7748958822821278,2026-06-22T03:36:51
3a,1,0,smooth_tchebycheff,0.0003,0.95,128,0.001,50000,0.8,200000,256,500000,0.001,33498.24081952719,0.7035381967373525,0.16153846153846155,0.9111001187646158,2026-06-22T03:51:10
3a,5,0,smooth_tchebycheff,0.0006,0.99,32,0.05,10000,1.0,100000,128,500000,0.05,29716.83564976869,0.6241202061450111,0.1879120879120879,0.8943495124971459,2026-06-22T03:51:20
3a,3,0,smooth_tchebycheff,0.0003,0.95,128,0.05,100000,1.0,100000,128,1000000,0.05,30635.613111226707,0.6434165937350211,0.3142857142857143,0.8770109423581406,2026-06-22T04:59:56
3a,8,0,smooth_tchebycheff,0.0003,0.99,256,0.005,10000,1.0,100000,128,500000,0.01,34550.736805197426,0.7256429732783372,0.14945054945054945,0.7887114881107681,2026-06-22T05:10:14
3a,7,0,smooth_tchebycheff,0.0006,0.95,256,0.001,10000,1.0,100000,256,500000,0.01,24041.46572960313,0.504924707463088,0.036813186813186814,0.7397530460418573,2026-06-22T05:40:32
3a,6,0,smooth_tchebycheff,0.0001,0.99,128,0.001,10000,0.5,200000,256,1000000,0.001,31194.817535036516,0.6551611409801817,0.1835164835164835,0.8032329757527258,2026-06-22T06:10:26
3a,11,0,smooth_tchebycheff,0.001,0.99,256,0.005,10000,1.0,200000,128,500000,0.1,18978.5406259095,0.39859192369515634,0.06428571428571428,0.6999943597033986,2026-06-22T06:29:33
3a,9,0,smooth_tchebycheff,0.001,0.99,128,0.005,10000,1.0,100000,256,1000000,0.001,30633.98282882187,0.6433823541476514,0.08406593406593407,0.7471594640596274,2026-06-22T06:31:12
3a,13,0,smooth_tchebycheff,0.0006,0.99,64,0.005,100000,0.5,100000,128,500000,0.001,24297.35216647251,0.510298896613334,0.2445054945054945,0.932420260276382,2026-06-22T06:59:08
3a,10,0,smooth_tchebycheff,0.0001,0.99,256,0.001,10000,0.8,200000,256,500000,0.001,19504.71692193779,0.409642806171883,0.07307692307692308,0.909808932648421,2026-06-22T07:06:12
3a,15,0,smooth_tchebycheff,0.0003,0.95,32,0.005,10000,0.5,100000,128,1000000,0.01,29977.94155425757,0.6296040158229956,0.18076923076923077,0.8834758270071289,2026-06-22T07:39:18
3a,17,0,smooth_tchebycheff,0.001,0.99,128,0.01,10000,1.0,200000,128,500000,0.01,23324.294296590964,0.48986249869065607,0.06208791208791209,0.6054554252753895,2026-06-22T08:01:32
3a,12,0,smooth_tchebycheff,0.001,0.99,128,0.005,50000,0.5,200000,256,1000000,0.1,26124.89003806486,0.5486812912464218,0.08846153846153847,0.7231979749707698,2026-06-22T08:31:50
3a,14,0,smooth_tchebycheff,0.0001,0.95,128,0.01,50000,1.0,100000,256,1000000,0.1,28352.999006356516,0.5954765774267174,0.3730769230769231,0.9105426537695054,2026-06-22T09:13:20
3a,19,0,smooth_tchebycheff,0.0001,0.95,64,0.05,50000,1.0,200000,128,1000000,0.001,28154.228938432294,0.5913019601414046,0.20164835164835165,0.9296032955278251,2026-06-22T09:29:57
3a,18,0,smooth_tchebycheff,0.0003,0.95,256,0.01,10000,0.5,200000,256,500000,0.1,19488.915823399468,0.4093109476593118,0.05714285714285714,0.7045547728557098,2026-06-22T09:38:06
3a,16,0,smooth_tchebycheff,0.0006,0.99,256,0.01,50000,0.5,200000,128,1000000,0.05,31607.896988178247,0.6638367360700341,0.13131868131868132,0.7743469119346834,2026-06-22T09:52:07
