problem,trial,seed,scalarization,lr,gamma,batch_size,tau,buffer_size,epsilon_start,epsilon_decay,hidden_size,total_steps,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
2b,1,0,linear,0.0003,0.95,128,0.001,50000,0.8,200000,256,500000,155.9646373988961,0.5629477256770414,0.9230769230769231,0.9858490566037734,2026-06-17T22:44:48
2b,2,0,linear,0.0001,0.95,32,0.01,10000,1.0,200000,256,500000,155.72610547200406,0.5620867548314402,0.8461538461538461,0.9872611464968152,2026-06-17T22:49:37
2b,0,0,linear,0.001,0.99,32,0.01,100000,0.8,200000,256,1000000,241.26141871124508,0.8708228302403193,0.7692307692307693,0.9567307692307695,2026-06-17T22:55:58
2b,5,0,linear,0.0006,0.99,32,0.05,10000,1.0,100000,128,500000,155.79280868501223,0.5623275172419747,1.0,1.0,2026-06-17T23:20:31
2b,4,0,linear,0.0003,0.99,32,0.05,50000,0.5,100000,128,500000,144.69547952858744,0.5222721796097591,0.9230769230769231,0.9967532467532468,2026-06-17T23:22:00
2b,3,0,linear,0.0003,0.95,128,0.05,100000,1.0,100000,128,1000000,158.46366991271114,0.5719678772543959,1.0,1.0,2026-06-18T00:08:12
2b,8,0,linear,0.0003,0.99,256,0.005,10000,1.0,100000,128,500000,154.97290028641945,0.5593680927471079,0.46153846153846156,0.98046875,2026-06-18T00:26:18
2b,7,0,linear,0.0006,0.95,256,0.001,10000,1.0,100000,256,500000,157.17567591178872,0.5673189176851154,0.9230769230769231,0.9853896103896105,2026-06-18T00:34:48
2b,6,0,linear,0.0001,0.99,128,0.001,10000,0.5,200000,256,1000000,157.17567591178872,0.5673189176851154,0.8461538461538461,0.9858490566037734,2026-06-18T01:12:35
2b,9,0,linear,0.001,0.99,128,0.005,10000,1.0,100000,256,1000000,249.37397769492352,0.9001047668731867,0.8461538461538461,0.9256535947712419,2026-06-18T01:39:50
