problem,trial,seed,scalarization,lr,gamma,batch_size,tau,buffer_size,epsilon_start,epsilon_decay,hidden_size,total_steps,smoothness,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
2b,2,0,smooth_tchebycheff,0.0001,0.95,32,0.01,10000,1.0,200000,256,500000,0.001,166.01628460833902,0.5992287187933947,0.6923076923076923,0.9817073170731705,2026-06-21T13:40:42
2b,0,0,smooth_tchebycheff,0.001,0.99,32,0.01,100000,0.8,200000,256,1000000,0.05,243.44552928894697,0.8787062844825766,0.6153846153846154,0.9203124999999999,2026-06-21T13:47:17
2b,1,0,smooth_tchebycheff,0.0003,0.95,128,0.001,50000,0.8,200000,256,500000,0.001,199.65197411083997,0.7206353095616818,0.7692307692307693,0.9969135802469132,2026-06-21T13:49:09
2b,4,0,smooth_tchebycheff,0.0003,0.99,32,0.05,50000,0.5,100000,128,500000,0.1,237.3457048119878,0.8566892274522011,0.7692307692307693,0.9233128834355829,2026-06-21T13:55:25
2b,5,0,smooth_tchebycheff,0.0006,0.99,32,0.05,10000,1.0,100000,128,500000,0.05,228.2178463479276,0.8237426105245297,0.5384615384615384,0.951388888888889,2026-06-21T14:17:03
2b,3,0,smooth_tchebycheff,0.0003,0.95,128,0.05,100000,1.0,100000,128,1000000,0.05,241.47918034843232,0.8716088316085701,0.9230769230769231,0.9936305732484076,2026-06-21T15:16:03
2b,8,0,smooth_tchebycheff,0.0003,0.99,256,0.005,10000,1.0,100000,128,500000,0.01,96.00529074720211,0.3465270139465799,0.5384615384615384,0.7562444592198581,2026-06-21T15:17:39
2b,7,0,smooth_tchebycheff,0.0006,0.95,256,0.001,10000,1.0,100000,256,500000,0.01,148.79498654696593,0.5370691758448145,0.3076923076923077,0.8765243902439025,2026-06-21T15:47:11
2b,6,0,smooth_tchebycheff,0.0001,0.99,128,0.001,10000,0.5,200000,256,1000000,0.001,257.92796243517654,0.9309800110010306,0.6153846153846154,0.9319775923986233,2026-06-21T16:24:37
2b,11,0,smooth_tchebycheff,0.001,0.99,256,0.005,10000,1.0,200000,128,500000,0.1,145.25745585138668,0.5243006092466328,0.23076923076923078,0.6185064935064934,2026-06-21T16:38:07
2b,9,0,smooth_tchebycheff,0.001,0.99,128,0.005,10000,1.0,100000,256,1000000,0.001,225.95379825044822,0.8155706252042952,0.6923076923076923,0.9093749999999998,2026-06-21T16:56:27
2b,13,0,smooth_tchebycheff,0.0006,0.99,64,0.005,100000,0.5,100000,128,500000,0.001,258.29267955780756,0.9322964419441262,0.6923076923076923,0.93234940872136,2026-06-21T17:13:36
2b,10,0,smooth_tchebycheff,0.0001,0.99,256,0.001,10000,0.8,200000,256,500000,0.001,227.6306355709187,0.8216230981983814,0.5384615384615384,0.9587806748466259,2026-06-21T17:21:52
2b,15,0,smooth_tchebycheff,0.0003,0.95,32,0.005,10000,0.5,100000,128,1000000,0.01,192.73203615539234,0.695658087809278,0.7692307692307693,0.9875776397515524,2026-06-21T18:05:22
2b,17,0,smooth_tchebycheff,0.001,0.99,128,0.01,10000,1.0,200000,128,500000,0.01,230.0049351485513,0.8301930315473477,0.3076923076923077,0.677591463414634,2026-06-21T18:17:40
2b,12,0,smooth_tchebycheff,0.001,0.99,128,0.005,50000,0.5,200000,256,1000000,0.1,142.15192907386682,0.5130913424180079,0.6923076923076923,0.93671875,2026-06-21T18:38:20
2b,14,0,smooth_tchebycheff,0.0001,0.95,128,0.01,50000,1.0,100000,256,1000000,0.1,250.94328808983036,0.9057691260024594,0.9230769230769231,0.9967320261437909,2026-06-21T19:20:59
2b,19,0,smooth_tchebycheff,0.0001,0.95,64,0.05,50000,1.0,200000,128,1000000,0.001,224.92269692361205,0.8118489088167502,0.8461538461538461,1.0,2026-06-21T19:47:53
2b,18,0,smooth_tchebycheff,0.0003,0.95,256,0.01,10000,0.5,200000,256,500000,0.1,136.94210193269998,0.4942866929205113,0.6923076923076923,0.8019480519480519,2026-06-21T20:03:57
2b,16,0,smooth_tchebycheff,0.0006,0.99,256,0.01,50000,0.5,200000,128,1000000,0.05,252.400985490943,0.9110306227774169,0.7692307692307693,0.9483024691358024,2026-06-21T20:15:09
