problem,trial,seed,scalarization,lr,gamma,batch_size,tau,buffer_size,epsilon_start,epsilon_decay,hidden_size,total_steps,hypervolume,normalized_hv,percent_non_dominated,ordering_score,timestamp
1a,1,0,linear,0.0003,0.95,128,0.001,50000,0.8,200000,256,500000,112.21295417587437,0.5289306102929421,1.0,1.0,2026-06-17T12:46:34
1a,2,0,linear,0.0001,0.95,32,0.01,10000,1.0,200000,256,500000,111.8069343162922,0.5270167819502424,0.6923076923076923,1.0,2026-06-17T12:49:54
1a,0,0,linear,0.001,0.99,32,0.01,100000,0.8,200000,256,1000000,112.21295417587437,0.5289306102929421,0.7692307692307693,0.9704861111111109,2026-06-17T13:07:26
1a,4,0,linear,0.0003,0.99,32,0.05,50000,0.5,100000,128,500000,170.6069342984108,0.8041783637318017,0.7692307692307693,0.9912790697674418,2026-06-17T13:15:14
1a,5,0,linear,0.0006,0.99,32,0.05,10000,1.0,100000,128,500000,117.46272561495914,0.5536761027502698,0.8461538461538461,1.0,2026-06-17T13:15:59
1a,3,0,linear,0.0003,0.95,128,0.05,100000,1.0,100000,128,1000000,170.64167591107574,0.8043421229209646,0.9230769230769231,0.9912790697674418,2026-06-17T14:01:20
1a,8,0,linear,0.0003,0.99,256,0.005,10000,1.0,100000,128,500000,177.38693276299523,0.8361367837911933,0.8461538461538461,0.9912790697674418,2026-06-17T14:09:16
1a,7,0,linear,0.0006,0.95,256,0.001,10000,1.0,100000,256,500000,112.21295417587437,0.5289306102929421,1.0,1.0,2026-06-17T14:31:50
1a,6,0,linear,0.0001,0.99,128,0.001,10000,0.5,200000,256,1000000,170.5953778845898,0.8041238910458267,0.6923076923076923,0.8205107392607391,2026-06-17T14:54:50
1a,9,0,linear,0.001,0.99,128,0.005,10000,1.0,100000,256,1000000,118.3046055155435,0.5576444150799811,1.0,0.9333333333333333,2026-06-17T15:06:04
