env_name,hypervolume,normalized_hv,non_dominated,ordering,architecture_idx,clip_range,entropy,lr,n_epochs,n_steps,scalarization_method,seed,smoothness,target_kl,total_timesteps,wandb_run_name
problem_0,448.2250419439599,1.0000000054644864,1.0,1.0,0,0.2266050428620163,0.0054618806457684,5.341764167717242e-05,20,2048,smooth_tchebycheff,1,0.0190414056698512,0.0134512810628294,200000,morning-sweep-28
problem_0,448.2250419439599,1.0000000054644864,1.0,1.0,0,0.2266050428620163,0.0054618806457684,5.341764167717242e-05,20,2048,smooth_tchebycheff,2,0.0190414056698512,0.0134512810628294,200000,morning-sweep-28
problem_0,448.2250419439599,1.0000000054644864,1.0,1.0,0,0.2266050428620163,0.0054618806457684,5.341764167717242e-05,20,2048,smooth_tchebycheff,3,0.0190414056698512,0.0134512810628294,200000,morning-sweep-28
problem_0,448.2250419439599,1.0000000054644864,1.0,1.0,0,0.2266050428620163,0.0054618806457684,5.341764167717242e-05,20,2048,smooth_tchebycheff,4,0.0190414056698512,0.0134512810628294,200000,morning-sweep-28
problem_0,448.2250419439599,1.0000000054644864,1.0,1.0,0,0.2266050428620163,0.0054618806457684,5.341764167717242e-05,20,2048,smooth_tchebycheff,0,0.0190414056698512,0.0134512810628294,200000,morning-sweep-28
problem_1a,196.55112371308917,0.9264697341127434,1.0,0.9875000000000002,0,0.14883491382189,0.0998128803564572,9.383349799115234e-05,20,2048,smooth_tchebycheff,0,0.0762661124956977,0.0112097023491569,200000,proud-sweep-37
problem_1a,192.97323424635817,0.9096048785967518,0.46153846153846156,0.9503800594204577,0,0.14883491382189,0.0998128803564572,9.383349799115234e-05,20,2048,smooth_tchebycheff,1,0.0762661124956977,0.0112097023491569,200000,proud-sweep-37
problem_1a,178.20634122565082,0.8399991740242523,0.6923076923076923,0.9677525594700389,0,0.14883491382189,0.0998128803564572,9.383349799115234e-05,20,2048,smooth_tchebycheff,2,0.0762661124956977,0.0112097023491569,200000,proud-sweep-37
problem_1a,144.56981829206157,0.681448971562681,0.38461538461538464,0.9521446924374908,0,0.14883491382189,0.0998128803564572,9.383349799115234e-05,20,2048,smooth_tchebycheff,3,0.0762661124956977,0.0112097023491569,200000,proud-sweep-37
problem_1a,189.75719361369332,0.8944456454488907,0.9230769230769231,0.9661535257138528,0,0.14883491382189,0.0998128803564572,9.383349799115234e-05,20,2048,smooth_tchebycheff,4,0.0762661124956977,0.0112097023491569,200000,proud-sweep-37
problem_1b,47.26693583319956,0.587477078813603,0.6923076923076923,0.9722222222222221,0,0.0872684119785699,0.0034058729051488,9.897950949399806e-05,20,2048,smooth_tchebycheff,4,0.0733333662272275,0.0156189898631832,200000,charmed-sweep-16
problem_1b,60.23469669631298,0.7486523726278529,0.8461538461538461,0.9894480519480521,0,0.0872684119785699,0.0034058729051488,9.897950949399806e-05,20,2048,smooth_tchebycheff,3,0.0733333662272275,0.0156189898631832,200000,charmed-sweep-16
problem_1b,67.51604098553914,0.8391516359599633,0.6153846153846154,0.9967948717948719,0,0.0872684119785699,0.0034058729051488,9.897950949399806e-05,20,2048,smooth_tchebycheff,2,0.0733333662272275,0.0156189898631832,200000,charmed-sweep-16
problem_1b,44.340947945242675,0.5511102023330351,0.46153846153846156,0.9648692810457515,0,0.0872684119785699,0.0034058729051488,9.897950949399806e-05,20,2048,smooth_tchebycheff,1,0.0733333662272275,0.0156189898631832,200000,charmed-sweep-16
problem_1b,58.585823911569136,0.7281586606949507,0.6923076923076923,0.9209343157552876,0,0.0872684119785699,0.0034058729051488,9.897950949399806e-05,20,2048,smooth_tchebycheff,0,0.0733333662272275,0.0156189898631832,200000,charmed-sweep-16
problem_1c,0.6301771372612208,0.3248930383299289,0.5384615384615384,1.0,0,0.1819730555160493,0.1574747525641481,6.250395729846979e-05,20,2048,smooth_tchebycheff,1,0.058275208563247,0.0247864548559784,200000,exalted-sweep-9
problem_1c,0.654431154780708,0.33739739778330446,0.5384615384615384,1.0,0,0.1819730555160493,0.1574747525641481,6.250395729846979e-05,20,2048,smooth_tchebycheff,0,0.058275208563247,0.0247864548559784,200000,exalted-sweep-9
problem_1c,0.2863365861156399,0.14762319663394471,0.15384615384615385,0.9195911450512677,0,0.1819730555160493,0.1574747525641481,6.250395729846979e-05,20,2048,smooth_tchebycheff,3,0.058275208563247,0.0247864548559784,200000,exalted-sweep-9
problem_1c,0.6301771372612208,0.3248930383299289,0.15384615384615385,0.9575471698113208,0,0.1819730555160493,0.1574747525641481,6.250395729846979e-05,20,2048,smooth_tchebycheff,4,0.058275208563247,0.0247864548559784,200000,exalted-sweep-9
problem_1c,0.12587993237043976,0.06489844088971657,0.15384615384615385,0.9512578616352201,0,0.1819730555160493,0.1574747525641481,6.250395729846979e-05,20,2048,smooth_tchebycheff,2,0.058275208563247,0.0247864548559784,200000,exalted-sweep-9
problem_2a,185.83707476620236,0.9839959611886574,1.0,1.0,0,0.1420785964010699,0.0020414565608588,3.489707201132105e-05,20,2048,smooth_tchebycheff,0,0.0147092447394647,0.009680963995183,200000,misunderstood-sweep-44
problem_2a,187.0247624850422,0.9902846951238103,1.0,1.0,0,0.1420785964010699,0.0020414565608588,3.489707201132105e-05,20,2048,smooth_tchebycheff,1,0.0147092447394647,0.009680963995183,200000,misunderstood-sweep-44
problem_2a,185.59674704338207,0.9827234405739504,1.0,1.0,0,0.1420785964010699,0.0020414565608588,3.489707201132105e-05,20,2048,smooth_tchebycheff,2,0.0147092447394647,0.009680963995183,200000,misunderstood-sweep-44
problem_2a,187.55382577218236,0.993086052917534,1.0,1.0,0,0.1420785964010699,0.0020414565608588,3.489707201132105e-05,20,2048,smooth_tchebycheff,3,0.0147092447394647,0.009680963995183,200000,misunderstood-sweep-44
problem_2a,184.83657457969505,0.9786983738050299,1.0,1.0,0,0.1420785964010699,0.0020414565608588,3.489707201132105e-05,20,2048,smooth_tchebycheff,4,0.0147092447394647,0.009680963995183,200000,misunderstood-sweep-44
problem_2b,157.22042797428256,0.5674804483514283,0.38461538461538464,0.9720496894409939,0,0.0669448729638026,0.0197994142210764,6.819163368367117e-05,20,2048,smooth_tchebycheff,0,0.0251222110123332,0.0264023083025044,200000,fine-sweep-18
problem_2b,136.8131705584098,0.4938213206083286,0.5384615384615384,0.8125,0,0.0669448729638026,0.0197994142210764,6.819163368367117e-05,20,2048,smooth_tchebycheff,2,0.0251222110123332,0.0264023083025044,200000,fine-sweep-18
problem_2b,140.46711197221987,0.5070100667431373,0.15384615384615385,0.8696969696969697,0,0.0669448729638026,0.0197994142210764,6.819163368367117e-05,20,2048,smooth_tchebycheff,3,0.0251222110123332,0.0264023083025044,200000,fine-sweep-18
problem_2b,140.2792152201504,0.5063318614075966,0.15384615384615385,0.9317484662576687,0,0.0669448729638026,0.0197994142210764,6.819163368367117e-05,20,2048,smooth_tchebycheff,4,0.0251222110123332,0.0264023083025044,200000,fine-sweep-18
problem_2b,177.17738510397555,0.6395142363623663,0.23076923076923078,0.8658536585365854,0,0.0669448729638026,0.0197994142210764,6.819163368367117e-05,20,2048,smooth_tchebycheff,1,0.0251222110123332,0.0264023083025044,200000,fine-sweep-18
problem_2c,249.76134353609433,0.7552391362414423,0.6923076923076923,0.9967532467532468,0,0.2949477008396939,0.0289880986522899,4.530117604734148e-05,20,2048,smooth_tchebycheff,0,0.0676088207380621,0.020526783192317,200000,quiet-sweep-30
problem_2c,257.87736046153736,0.7797806987014743,0.8461538461538461,0.9838709677419356,0,0.2949477008396939,0.0289880986522899,4.530117604734148e-05,20,2048,smooth_tchebycheff,2,0.0676088207380621,0.020526783192317,200000,quiet-sweep-30
